servierCode,providerCode,geographyCode,sourceChannelCode,nameEn
,100176,034;040;050;036;030,SG_PubH,SINGHEALTH POLYCLINICS
,100193,010;020;040;050;090,SG_GP,SATA COMMHEALTH
,100195,010;030;020;040;050;090,SG_PubH,HEALTH SCIENCES AUTHORITY
,100202,034;040;050;036;030,SG_PubH,SINGHEALTH POLYCLINICS
,100209,030;040;050;060,SG_PubH,SINGAPORE TECHNOLOGIES LOGISTICS (ARMY)
,100274,034;040;050;036;030,SG_PubH,SINGHEALTH POLYCLINICS
,100340,030;042;050;060;040,SG_PubH,JURONG MEDICAL CENTRE
,100342,033;032;041;050;040;080;030,SG_PubH,ALEXANDRA HEALTH PTE LTD C/O KHOO TECK PUAT HOSPITAL
,200001,010;090;020;040;050;080,SG_PriSent,ABRAHAM'S ENT SURGERY P/L
,200017,012;015;024;040;050,SG_GP,ANG MO KIO MEDICAL CENTRE - DR TAN SEUNG PO
,200018,012;015;024;041;050;080,SG_GP,P K ANG CLINIC & SURGERY
,200019,010;015;020;040;050,SG_GP,ANTEH DISPENSARY - DR JOYCE LIANG
,200021,012;014;022;042;050,SG_GP,THOMAS CLINIC & SURGERY - DR THOMAS CHERIAN
,200031,013;015;022;042;050,SG_GP,DRS BAIN & PARTNERS
,200033,011;015;023;040;050,SG_GP,BALKIS FAMILY CLINIC - DR BALKIS AKBAR ALI
,200034,010;015;023;040;050,SG_GP,BEDOK CLINIC & SURGERY - DR FONG KHEE LENG
,200035,011;015;023;041;050,SG_GP,BEDOK LIFE CLINIC - DR K C QUEK
,200037,011;015;023;040;050,SG_GP,THE BEDOK MEDICAL CENTRE - DR HENRY YEO
,200043,010;090;021;040;050,SG_GP,BOON LAY CENTRAL CLINIC - DR SEET HIN MIN
,200044,010;090;021;040;050,SG_GP,BOON LAY CLINIC & SURGERY - DR CHAU SIK TING
,200045,013;014;020;040;050,SG_GP,BUKIT BATOK MEDICAL CLINIC - DR KWEK THIAM SOO
,200046,013;014;024;040;050,SG_GP,BUKIT TIMAH CLINIC - DR KWEE WEE HOCK DAVID
,200047,010;014;020;040;050,SG_GP,BUKIT TIMAH NAM SANG CLINIC - DR KOH SWEE HIANG
,200061,010;090;020;040;050,SG_PriSpae,CHAN CLINIC FOR CHILDREN C/O CHAN SING KIT PTE LTD
,200062,010;090;020;040;050,SG_PriSent,CHAN EAR NOSE & THROAT SURGERY - DR CHAN SIEW CHEE
,200063,013;014;021;042;050,SG_GP,CHANG CLINIC - DR CHANG TOU LIANG
,200069,011;014;022;041;050,SG_PriSend,CHAN MED & ENDO/CHAN MEC P/L - DR CHAN HENG CHUN
,200089,011;014;022;040;050,SG_GP,"DRS CHEW, DA COSTA & PARTNERS - DR CHEW BENG KENG"
,200095,012;015;024;041;050,SG_GP,CHAIM CLINIC - DR CHAIM HENG TIN
,200106,010;015;023;040;050,SG_GP,CHONG CLINIC - DR CHONG TZE SHING
,200107,012;015;024;040;050,SG_GP,CHONG'S CLINIC - DR YUEN JYE
,200109,010;090;020;042;050,SG_GP,CHONG'S MEDICAL CENTRE - DR CHONG CHIN KAH
,200110,013;014;021;041;050,SG_GP,G & H MEDICAL CLINIC PTE LTD - DR GOH CHENG HONG
,200112,011;090;023;041;050;080,SG_GP,KAI CLINIC - DR ALAN HO CHOK CHAN
,200117,011;090;020;040;050,SG_GP,RICHARD CHOO & PARTNERS
,200121,011;015;022;040;050,SG_GP,ROWELL CLINIC & SURGERY - DR SNG LUI CHENG
,200124,010;090;023;041;050,SG_PriSder,PETER CHUAH CLINIC
,200126,012;014;022;040;050,SG_GP,DRS CHUA & PARTNERS
,200127,010;090;021;040;050;080,SG_GP,CHUNGKHIAW CLINIC - DR KOH ENG KHENG
,200132,010;090;024;042;050,SG_GP,"THE JAPANESE ASSOCIATION CLINIC, SINGAPORE"
,200133,010;015;023;041;050,SG_GP,CIVIC CLINIC - DR OOI TEIK HUAT
,200136,013;015;022;042;050,SG_GP,CLIFFORD DISPENSARY
,200137,013;015;022;042;050,SG_GP,CLIFFORD DISPENSARY
,200140,012;090;024;040;050,SG_GP,YIO CHU KANG MRT CLINIC - DR TERENCE KOH
,200151,012;015;024;041;050;080,SG_GP,CHIEW CLINIC - DR KENNETH Y W CHIEW YUEN WENG
,200152,011;015;023;040;050,SG_GP,CRESCENT CLINIC & DENTAL SURGERY - DR M TAHIR
,200154,013;090;022;040;050,SG_GP,DOVER CLINIC & SURGERY - DR CHEW GIAN MOH
,200157,013;014;021;042;050,SG_GP,EASTERN CLINIC & SURGERY - DR TAN CHIN HOR
,200158,011;015;023;040;050,SG_GP,EASTERN MEDICAL CENTRE - DR FONG CHIU YAN
,200164,012;014;022;040;050,SG_GP,EVERTON CLINIC - DR PHANG KWANG MIN
,200178,011;014;022;042;050;080,SG_GP,DRS FERNANDEZ & PARTNERS
,200181,010;090;020;040;050;080,SG_PriSog,FONG'S CLINIC FOR WOMEN - DR FONG CHUAN WEE
,200184,010;090;023;040;050,SG_GP,FRANKEL CLINIC - DR GAN CHENG HOE
,200188,010;090;020;040;050,SG_PriSgas,GASTROENTEROLOGY CLINIC - DR BENNY ANG
,200192,011;015;023;040;050,SG_GP,GEYLANG BAHRU CLINIC - DR LIAO KIAN HUAT
,200193,010;015;020;040;050,SG_GP,GEYLANG SERAI CLINIC - DR VICTOR NG KOON KENG
,200201,012;090;020;040;050,SG_GP,GRACE CLINIC - DR CHONG FOONG CHONG
,200203,012;015;024;040;050,SG_GP,G.S. CLINIC & SURGERY PTE LTD - DR GOH H P/DR SEAH
,200205,012;014;024;040;050,SG_PriSend,GWEE ENDOCRINE & MEDICAL CLINIC - DR GWEE HAK MENG
,200206,011;015;023;041;050,SG_PriSphy,HAIG SPECIALIST MED CLINIC PTE LTD-DR MUKUND DOSHI
,200223,013;014;022;042;050;080,SG_GP,HO MEDICAL CENTRE PTE LTD - DR PAUL HO
,200228,011;015;023;040;050,SG_GP,HONG WHYE CLINIC - DR CHUNG WENG SIONG
,200246,011;015;022;041;050;080,SG_GP,JAPAN CLINIC & SURGERY - DR CHEE WENG SUN
,200247,012;015;024;040;050,SG_GP,JAPAN GREEN CLINIC - DR LOH BAN CHYE
,200248,010;015;023;040;050,SG_GP,JINMIN CLINIC - DR HO SOON LYE
,200260,010;090;020;040;050,SG_GP,KANG CLINIC - DR KANG CHUNG MENG
,200281,010;014;020;040;050,SG_GP,KOH CLINIC & SURGERY - DR KOH BOON WAH
,200282,011;015;020;040;050,SG_GP,KOH CLINIC & SURGERY - DR KOH AI PENG
,200286,012;015;024;040;050,SG_GP,C Y KOK CLINIC & SURGERY - DR KOK CHIN YON
,200287,012;014;024;040;050,SG_GP,KONG CLINIC & SURGERY C/O KONG CLINIC & SURGERY PTE LTD
,200288,010;090;024;040;050,SG_GP,KONG KIAN CLINIC - DR STEPHEN CHEE
,200291,010;090;020;040;050;080,SG_GP,KIN MUN CLINIC - DR VICTOR WEE SIP LEONG
,200299,010;090;020;040;050,SG_GP,M LAM CLINIC - DR MARTIN Y L LAM
,200305,010;090;022;040;050,SG_GP,LEE CLINIC & SURGERY - DR LEE KEEN KHUEN
,200307,012;015;024;040;050,SG_GP,S.Y. LEE CLINIC - DR LEE SUAN YEW
,200315,010;090;020;040;050,SG_GP,LEONG CLINIC - DR LEONG LEE SAN
,200318,010;015;023;040;050,SG_GP,LIANG CLINIC - DR LIANG HSUEH LIN
,200322,011;015;023;041;050,SG_GP,LIEW CLINIC - DR LIEW B L
,200323,012;014;020;040;050,SG_GP,LIEW CLINIC & SURGERY - DR LIEW AH KIONG
,200330,011;015;020;040;050,SG_GP,LIM CLINIC - DR LIM KIM LEONG
,200333,011;090;023;040;050,SG_GP,LIM CLINIC & SURGERY - DR LIM LIANG BOON
,200336,012;015;020;040;050,SG_GP,DRS LIM & CHAN - DR C L LIM & DR S M CHAN
,200337,012;015;020;040;050,SG_GP,DRS LIM & CHAN CLINIC- DR C L LIM & DR S M CHAN
,200341,010;090;020;040;050,SG_GP,LIM MEDICAL CLINIC - DR LIM SWEE HOCK
,200346,012;015;024;040;050,SG_GP,LIM CLINIC - DR LIM WAN IE
,200347,011;015;020;040;050,SG_GP,LOH'S CLINIC - DR LOH HUNG GHEE
,200352,012;090;020;040;050,SG_GP,DR ROBERT LOOI CHENG SIN - LOOI SURGERY PTE LTD
,200355,012;015;023;040;050,SG_PriScar,LOW CARDIOLOGY CLINIC - DR LOW LIP PING
,200368,011;015;023;040;050,SG_GP,MARINE PARADE CLINIC - DR KONG KUM LENG
,200369,010;090;020;040;050,SG_GP,MARSILING CLINIC - DR THONG THEAN SENG
,200373,012;090;020;042;050,SG_GP,MEDEN CLINIC & SURGERY - DR FONG CHONG TOO
,200374,012;014;022;042;050;080,SG_GP,MEDEN CLINIC & SURGERY - DR GOH CHENG CHUAN
,200377,010;014;022;040;050,SG_GP,THE MEDICAL CENTRE CLINIC HONG LEONG - DR W F KWOK
,200380,010;014;024;040;050,SG_PriSgas,MEDICAL & G.E. CLINIC
,200387,010;090;022;040;050,SG_GP,MEDICAL PRACTICE - DR NG THIN ONN
,200388,010;090;020;040;050,SG_PriSog,MEDICAL SUPPLY & SERVICES INT'L (1996) PTE LTD
,200391,013;014;021;040;050;080,SG_GP,MEDICO CLINIC & SURGERY - DR CHUA PONG KUAN
,200393,012;014;022;040;050,SG_GP,MEI LING CLINIC
,200395,010;014;020;040;050,SG_GP,MENG'S CLINIC - DR CHAN KHYE MENG
,200396,012;015;020;040;050,SG_GP,MERIDIAN MEDICAL CENTRE - DR EUGENE UNG
,200401,013;014;022;040;050,SG_GP,THE MING CLINIC
,200404,012;014;024;042;050,SG_PriScar,NAIR CARDIAC & MEDICAL CENTRE - DR V P NAIR
,200406,013;014;021;040;050,SG_GP,NAM SENG CLINIC PTE LTD-DR KOH SWEE HAI
,200417,011;015;023;040;050,SG_GP,NEW TOWN CLINIC - DR CHIA KWOK WAH
,200418,011;015;023;040;050;080,SG_GP,NEW TOWN CLINIC - DR TAN GEOK JIM
,200424,010;090;022;040;050,SG_GP,E.C. NG MEDICAL CENTRE - DR NG ENG CHAN
,200427,010;090;020;040;050,SG_GP,S.Y. NG CLINIC - DR NG SENG YUEN
,200429,010;090;022;040;050;080,SG_PriSog,KM SENG'S O.G. PRACTICE - DR K M SENG
,200433,013;014;020;040;050,SG_GP,LEE CLINIC - DR LEE TANG YIN & DR CHONG LAY HWA
,200434,011;015;022;040;050;080,SG_GP,ONG'S CLINIC - DR ONG YONG KHEE
,200436,010;015;020;040;050,SG_GP,ONG MEDICAL CLINIC - DR RAYMOND ONG THENG SUNG
,200450,010;090;020;040;050;080,SG_PriSort,ORTHOPAEDIC ASSOCIATES-DR LING CHAN MING
,200462,010;015;023;040;050,SG_GP,PAN-ISLAND CLINIC SURGERY - DR TAN SOO LIANG
,200463,010;014;024;040;050,SG_GP,PAN ISLAND MEDICAL GROUP - DR CHUA SUI MENG
,200464,012;015;024;040;050,SG_GP,PARIQUA CLINIC - DR JUDY CHEN PEI SIANG
,200476,010;090;021;040;050,SG_GP,THE PEOPLE'S CLINIC - DR PHAN OI PENG
,200478,010;090;020;040;050,SG_GP,FRONTIER PEOPLE'S CLINIC PTE LTD
,200482,010;015;023;040;050,SG_GP,PHOON CLINIC & SURGERY - DR PHOON CHIONG FOOK
,200483,012;015;024;040;050;080,SG_GP,PING'S CLINIC & SURGERY - KWAK PING LAM
,200487,010;090;020;040;050;080,SG_PriSder,SKIN CLINIC- DR GEORGE S C WONG
,200495,013;014;023;041;050,SG_PriH,RAFFLES MEDICAL GROUP
,200502,011;015;023;040;050,SG_GP,TAY CLINIC
,200503,011;015;022;040;050,SG_GP,ROCHORE CENTRE CLINIC - DR MARY WEE JOO LING
,200504,010;090;020;040;050,SG_GP,ROCHORE MEDICAL CENTRE - DR GEORGE KHOO
,200519,011;014;021;041;050,SG_GP,HEALTHWAY MEDICAL CLINIC
,200524,013;090;021;040;050,SG_GP,SHENTON CLINIC - DR TAN KOK ENG
,200533,010;090;020;040;050,SG_GP,HEALTHY GLOW MEN & WOMEN'S CL - DR WONG YOKE MENG
,200534,011;015;022;041;050;080,SG_GP,SINGAPURA CLINIC - DR LEE KENG THON
,200552,010;090;020;040;050,SG_PriSsur,SUWANDI-KO SURGERY - DR SU WAN DI-KO
,200557,011;015;020;040;050,SG_GP,TAMPINES CLINIC & SURGERY PTE LTD-DR ANG EE LEONG
,200558,011;015;023;040;050,SG_GP,TAMPINES MEDICAL CENTRE - DR SIM SENG CHYE
,200560,010;090;020;042;050,SG_PriSpsy,TAN CHUE TIN CLINIC - DR TAN CHUE TIN
,200561,010;090;020;040;050,SG_GP,TAN CLINIC - DR TAN KIAT PIAH
,200569,010;014;021;040;050,SG_GP,DRS TANG & PARTNERS - DR H P LOO
,200573,010;090;022;040;050,SG_GP,TANGLIN MEDICAL CLINIC
,200575,010;090;020;040;050,SG_PriSsur,H K TAN SURGERY
,200580,012;015;024;040;050,SG_GP,TAN MEDICAL CLINIC PTE LTD - DR TAN YONG TECK
,200581,012;015;024;040;050,SG_GP,TAN MEDICARE CLINIC - DR TAN YONG TONG
,200584,010;090;020;040;050,SG_GP,TAN & TAN CLINIC-DR LEE PHENG SOON/DR LEE CHUN FAI
,200588,010;015;023;040;050,SG_GP,K.L. TAY CLINIC & SURGERY - DR TAY KOK LING
,200589,013;014;024;040;050,SG_GP,TAY MEDICAL CENTRE - DR TONY TAY KIM TENG
,200590,013;014;021;040;050,SG_GP,TEBAN GARDEN CLINIC - DR CHEW PIN KEE
,200594,010;090;024;040;050,SG_GP,TEK DISPENSARY - DR GOH KONG TEK
,200598,012;014;022;040;050,SG_GP,TENG CLINIC - DR SIAH KIM BIN
,200601,010;090;020;040;050;080,SG_GP,TEO CLINIC & SURGERY - DR T K TEO
,200613,010;014;022;040;050,SG_GP,THEAN CLINIC - DR DON LAU VI HOK
,200616,012;015;021;042;050,SG_GP,DRS THOMPSON & THOMSON
,200630,010;090;020;040;050;080,SG_PriSonc,HAEMATOLOGY ONCOLOGY ASSOCIATES
,200631,012;015;023;042;050,SG_PriScar,CHARLES TOH CLINIC - DR TOH CHAI SOON CHARLES
,200635,010;090;022;040;050,SG_GP,TOWN CLINIC - DR KHOO BOO YEE
,200638,010;090;020;040;050,SG_PriSog,THE TOW YUNG CLINIC- DR LIM TECK CHYE
,200642,012;015;021;042;050,SG_GP,"DRS TRYTHALL, HOY, DAVIES PTE LTD"
,200644,013;090;022;040;050,SG_GP,UNION CLINIC & SURGERY - DR QUEK CHEE GUAN
,200647,010;090;020;040;050,SG_GP,UNITED CLINIC
,200650,011;015;023;040;050,SG_GP,UNITED MEDICAL PRACTITIONERS PTE LTD-DR CHOONG SHE
,200653,013;014;022;042;050,SG_GP,NUS-UNIVERSITY HEALTH CTR - UNIVERSITY HEALTH CTR. (UHC)
,200655,011;090;020;040;050;080,SG_GP,VERNON CLINIC & SURGERY - DR CHIA KIAT SWAN
,200656,010;090;020;040;050,SG_GP,VICTORY CLINIC & SURGERY - DR WILLIAM KHOO C L
,200657,013;090;020;040;050,SG_GP,E.L. CHIN FAMILY CLINIC & SURGERY - DR CHIN EN LOY
,200659,010;015;020;040;050,SG_PriScar,DRS WEE & OH - DR ALBERT WEE SOON TECK
,200660,011;015;023;040;050;080,SG_GP,WEE CLINIC & SURGERY - DR WEE TEONG BOO
,200661,013;014;020;040;050,SG_GP,WEE HEALTHFIRST MEDICAL CLINIC DR SEOW YU JIN
,200668,010;090;024;040;050,SG_GP,WHAMPOA CLINIC - DR ANG YIAN HUA
,200669,013;015;022;042;050,SG_PriSent,WILMER CLINIC PTE LTD - DR BRIAN HENG BOON LIAT
,200670,010;090;022;040;050,SG_GP,WINSTEDT CLINIC - DR S L SARMA
,200674,011;015;023;040;050,SG_GP,WONG CLINIC - DR WONG CHIN HENG
,200689,010;090;021;040;050,SG_GP,WOODLANDS CLINIC - DR S P SEOW
,200698,011;015;023;041;050,SG_GP,YANG & YAP CLINIC & SURGERY P/L
,200706,010;014;020;040;050,SG_GP,YIM CLINIC & SURGERY - DR YIM SOW TUCK
,200712,010;090;020;040;050;080,SG_PriSog,OG CLINIC FOR WOMEN
,200713,013;014;021;040;050,SG_GP,"DRS OH, LIM, WONG & PARTNERS - DR WONG KAI CHEONG"
,200715,012;015;024;040;050,SG_GP,TAN-TEOH CLINIC/SURGERY
,200727,010;090;020;040;050,SG_PriSog,CHARLES M P LIM CLINIC & SURGERY FOR WOMEN PTE LTD
,200738,013;014;020;040;050;080,SG_GP,ISLAND GROUP CLINIC
,200749,012;015;024;040;050;080,SG_GP,COMFORT CLINIC & SURGERY
,200774,010;090;023;040;050,SG_GP,LOW & LEE CLINIC & SURGERY - DRS G C LEE/ K C LOW
,200775,011;015;020;040;050,SG_GP,EMMANUEL MEDICAL CLINIC
,200777,013;014;021;040;050,SG_GP,S.S. TAN MEDICAL CLINIC - DR TAN SHING SAN
,200778,012;015;021;042;050,SG_GP,TOWN HALL CLINIC - DR JULIAN PNG
,200784,010;090;020;042;050,SG_PriSpsy,ADAM ROAD MEDICAL CENTRE-DR WONG Y C/ DR F.NGUI
,200787,010;015;024;040;050,SG_GP,TECK GHEE CLINIC - DR KOH GIN POH
,200793,010;090;020;040;050,SG_GP,TEKKA CLINIC SURGERY- DR HARIDASS RAMDASS
,200795,010;090;020;040;050,SG_GP,DR CHAN PENG MUN CLINIC & SURGERY-DR CHAN PENG MUN
,200798,012;015;024;040;050,SG_GP,LEE CLINIC - DR LEE CHON SHAM
,200800,012;014;020;040;050,SG_GP,MAO MEDICAL CENTRE - DR MAO FONG HAO
,200803,010;090;020;040;050,SG_GP,ORCHARD GROUP CLINIC - DR TAN CHIN LOCK
,200807,011;015;020;040;050,SG_GP,S.K. TAY CLINIC & SURGERY - DR TAY SOI KHENG
,200811,010;015;023;040;050,SG_GP,Y T LIM CLINIC - DR LIM YONG TEENG
,200829,012;090;024;040;050,SG_GP,HOUGANG CLINIC - DR CHUA CHONG LI
,200840,010;090;020;040;050;080,SG_GP,UNION MEDICAL CLINIC & SURGERY - DR BETTY KOH M N
,200842,010;015;020;040;050,SG_GP,TAN & YIK CLINIC & SURGERY - DR TAN GEE HWA
,200843,010;090;020;040;050,SG_PriSog,GORDON LIM CLINIC & SURG FOR WOMEN - DR GORDON LIM
,200844,010;090;021;040;050,SG_GP,YISHUN MEDICAL CENTRE
,200848,010;090;020;042;050,SG_PriSpsy,PAUL W NGUI PSYCHIATRIC CLINIC - DR PAUL W NGUI
,200853,011;015;023;040;050,SG_GP,CHUA MEDICAL CENTRE - DR CHUA TEO NGEE
,200854,013;014;021;040;050,SG_GP,TRINITY MEDICAL CLINIC - DR THOMAS SOO KWOK SENG
,200856,011;015;023;041;050;080,SG_GP,HONG FAMILY CLINIC - DR HONG LEE TIONG
,200863,013;014;020;042;050;080,SG_GP,MARY MEDICAL CLINIC & SURGERY -DR MARY YAO WAN HWA
,200865,010;090;020;042;050,SG_PriSpsy,THE PSYCHIATRIC & BEHAVIOURAL MEDICINE CL-DR ANG P
,200874,011;014;022;040;050,SG_PriScar,BERNARD EE MEDICAL CENTRE PTE LTD - DR BERNARD EE
,200876,011;090;020;041;050,SG_PriScar,CLINIC CP LIM PTE LTD
,200877,011;015;023;041;050,SG_PriScar,BALDEV SINGH CARDIOLOGY CL P/L - DR BALDEV SINGH
,200881,010;090;024;040;050,SG_GP,GOODHEALTH MEDICAL CENTRE - DR TAN LEAN BENG
,200886,010;014;020;040;050,SG_GP,NEIGHBOURHOOD CLINIC - DR LIM YU HER
,200887,012;014;022;040;050;080,SG_GP,THE BONHAM CLINIC - DR DAVID EU
,200891,011;015;023;041;050,SG_GP,STREET 21 CLINIC TAMPINES - DR GAN TEK KAH
,200892,010;090;020;040;050,SG_PriSsur,S C WONG SURGERY PTE LTD - DR WONG SEN CHOW
,200903,013;014;021;040;050,SG_GP,NEO CLINIC & SURGERY - DR NEO ENG KIONG
,200906,010;090;020;040;050,SG_PriSog,DOLLY WEE CLINIC & SURGERY FOR WOMEN PTE LTD
,200910,010;090;021;042;050,SG_PriSsur,RICHARD CHEW SURGERY - DR RICHARD CHEW KIM HUAT
,200916,012;015;020;040;050;080,SG_GP,NEIGHBOURHOOD MEDICAL CLINIC PTE LTD-DR TAN HENG
,200920,013;014;021;040;050,SG_GP,LIFELINE YISHUN RING MEDICAL CLINIC PTE LTD
,200924,013;014;021;040;050,SG_GP,YONG CLINIC & SURGERY - DR YONG CHEE FAH
,200926,010;090;020;042;050,SG_PriSpsy,YEO SEEM HUAT PSYCHIATRIC CLINIC PTE LTD
,200935,010;014;022;040;050,SG_GP,THE MEDICAL CLINIC - DR TAY KEW WEI
,200941,010;090;020;040;050,SG_GP,NEOH & ONG MEDICAL CLINIC - DR LINDA NEOH
,200947,010;090;021;040;050,SG_GP,TOYU MEDICAL CENTRE - DR CHOO WENG SIN
,200955,010;090;020;040;050,SG_GP,SHERATON MEDICAL CLINIC - DR YAP YONG SANG
,200961,010;090;020;040;050,SG_PriSog,K K HO CLINIC FOR WOMEN - DR HO KOK KEE
,200963,011;015;020;040;050,SG_PriScar,THE CARDIAC CENTRE - DR LESLIE LAM
,200968,010;090;020;040;050,SG_GP,COUNTRYSIDE CLINIC & SURGERY- DR ZAILAN BIN AHMAD
,200971,010;090;020;040;050,SG_PriSog,KUSUMA LEE CLINIC & SURGERY FOR WOMEN PTE LTD
,200974,011;015;020;040;050,SG_GP,FRONTIER MEDICAL ASSOCIATES(UBI)P/L
,200980,010;090;020;040;050,SG_PriSog,WOMEN'S HEALTH PROFESSIONAL PTE LTD
,200982,010;090;020;040;050,SG_PriSog,K.C. CHING CLINIC & SURGERY FOR WOMEN
,200984,010;090;020;040;050,SG_GP,BL MEDICAL ASSOCIATES - DR LIM BEE LIN
,200987,012;014;022;042;050;080,SG_GP,CENTRAL MEDICAL GROUP - DR LIM GEOK LEONG
,201003,012;014;022;040;050;080,SG_GP,SHALOM CLINIC & SURGERY- DR LAWRENCE SOH ENG LIONG
,201012,010;090;021;040;050,SG_GP,JOY CLINIC & SURGERY - DR SOH LIN TIN
,201014,013;014;021;040;050,SG_GP,APEX CLINIC & SURGERY - DR GOH MIAH KIANG (D27)
,201021,012;014;022;040;050,SG_GP,CITYMED HEALTH ASSOCIATES P/L-DR CHAN SUEN MENG
,201026,010;090;020;040;050,SG_GP,MARITIME MEDICAL CENTRE P/L-DR CHOY CHEE TUCK
,201028,010;015;023;041;050,SG_GP,TAN LEE CLINIC PTE LTD - DR TAN LAY KEANG
,201030,011;015;023;040;050,SG_GP,SIMEI CLINIC & SURGERY - DR PETER NG TECK HWEE
,201032,012;015;020;040;050,SG_PriSneu,DEVATHASAN NEUROLOGY PRACTICE PTE LTD
,201036,012;015;024;041;050,SG_GP,GOH CLINIC & SURGERY - DR MALCOLM GOH CHIN LIANG
,201041,010;090;021;040;050,SG_GP,W K KOO & ASSOCIATES P L- DR KOO WEE KHIAT ALVIN
,201047,012;015;024;040;050,SG_GP,K P TAN MEDICAL CLINIC - DR TAN KOK PIN
,201048,010;090;020;040;050,SG_PriSog,HII WOMEN'S CLINIC - DR HII HOI CHIN
,201049,012;014;022;042;050,SG_GP,HEALTH PARTNERSHIP MED CTR - DR CHEONG KWOK KEONG
,201050,010;090;020;040;050,SG_PriSog,WOMEN'S CLINIC OF SINGAPORE - DR JEN SHEK WEI
,201054,010;090;020;040;050,SG_GP,FAMILY MEDICAL CLINIC - DR CELENA TAY SIEW TEE
,201055,010;090;020;040;050,SG_GP,LIFE CARE CLINIC - DR AGNES NG
,201059,012;015;024;041;050;080,SG_GP,S G CLINIC FAMILY PRACTICE - DR SURESH MAHTANI
,201060,012;015;024;040;050,SG_GP,T P SIM FAMILY CLINIC & SURGERY- DR SIM TIONG PUAY
,201065,011;015;022;041;050,SG_GP,T&T FAMILY HEALTH CLINIC & SURGERY - DR TING C M
,201072,012;015;024;041;050,SG_PriSpae,SAW BABY & CHILD CLINIC & KHOO FAMILY CLINIC
,201074,012;014;022;042;050,SG_GP,HUAN CLINIC - DR M W HUAN
,201076,012;015;024;040;050,SG_GP,DRS GOH & TAN FAMILY CLINIC & SURGERY
,201080,011;090;022;042;050,SG_GP,FAR EAST MED PRACTITIONER - DRS M GOH/R SADASIVAN
,201085,010;090;023;040;050,SG_GP,THE RAFFLESIAN CLINIC & SURGERY-DR JANICE S S KHOO
,201091,011;014;021;041;050,SG_GP,HEALTHWAY TUAS MEDICAL CLINIC - DR TAN YU SING
,201093,013;014;020;040;050,SG_GP,PACIFIC MEDICAL & DENTAL GROUP - DR ELENA KAN
,201097,011;015;023;041;050,SG_GP,TAMPINES MEDILIFE CLINIC - DR TAN EE POH
,201201,012;015;024;040;050,SG_GP,TAN'S T & T CLINIC & SURGERY - DR TAN POH HENG
,201202,010;015;024;040;050,SG_GP,ANDERSON MEDICAL CENTRE - DR CHANG CHEE CHEA
,201208,012;014;024;040;050,SG_PriSend,THE DIABETES & ENDOCRINE CLINIC - DR TAN KHAI TONG
,201210,012;014;024;042;050,SG_PriSneu,TANG NEUROLOGY & MEDICAL CLINIC - DR TANG KOK FOO
,201218,010;090;020;040;050,SG_PriSog,DR L K YAP SURGERY & CLINIC FOR WOMEN - DR YAP L K
,201219,012;090;024;040;050,SG_GP,K K TAN MEDICAL CLINIC - DR TAN KOK KHENG
,201227,011;014;021;041;050,SG_GP,HEALTHWAY MEDICAL CLINIC - DR TAN SEE LENG
,201230,010;090;022;040;050,SG_GP,NEWCASTLE CLINIC - DR KOO SENG LONG
,201231,010;090;022;041;050,SG_PriSgas,TEH LIP BIN GASTROENTEROLOGY & MEDICAL CLINIC
,201234,010;090;020;040;050,SG_GP,HO MEDICAL CLINIC - DR HO KAH NANG
