rowId,code,_name,_address1,_address2,_postalCode,types,name,formattedAddress,postalCode,latitude,longitude,score
15,100114,SINGHEALTH POLYCLINICS-TAMPINESBRCH,167 JALAN BUKIT MERAH,TOWER 5 #15-10,529203,"[""subpremise""]","167 Jalan Bukit Merah, TOWER 5 #15","167 Jalan Bukit Merah, TOWER 5 #15, Singapore 150167",150167,1.2827221,103.8184563,1.4142135
16,100123,SINGHEALTH POLYCLINICS-BEDOK BRANCH,167 JLN BKT. MERA,#15-10 INSTITUTE OF HEALTH TOWER 5,460212,"[""establishment"",""health"",""point_of_interest""]",SingHealth Polyclinics - Bedok,"Heartbeat@ #02-01, #03-01, Singapore 469662, 11 Bedok North Street 1, Singapore",460212,1.3271154,103.9322113,1.0
17,100125,SINGHEALTH POLYCLINICS- BKT MERAH BRCH,BLK 163 BUKIT MERAH CENTRAL,#15-10 INSTITUTE OF HEALTH TOWER 5,150163,"[""premise""]",163 Bukit Merah Central,"163 Bukit Merah Central, Singapore 150163",150163,1.2837537,103.8170072,1.0
18,100128,SINGHEALTH POLYCLINICS-GEYLANG BRCH,21 GEYLANG EAST CENTRAL,SINGAPORE,389707,"[""establishment"",""health"",""point_of_interest""]",Geylang Polyclinic,"21 Geylang East Central, Singapore 389707",389707,1.3194787,103.8871586,0.0
19,100132,SINGHEALTH POLYCLINICS- MARINE PARADE BRCH,BLK 80 MARINE PARADE CENTRAL,#15-10 INSTITUTE OF HEALTH TOWER 5,440080,"[""establishment"",""health"",""point_of_interest""]",SingHealth Polyclinics - Marine Parade,"01-792, 80 Marine Parade Central, Singapore 440080",440080,1.3024486,103.9077127,0.0
20,100134,SINGHEALTH POLYCLINICS-QUEENSTOWN BRCH,580 STIRLING ROAD,LEVEL 2 (PHARMACY DEPT),148958,"[""establishment"",""health"",""point_of_interest""]",Queenstown Polyclinic,"580 Stirling Rd, Singapore 148958",148958,1.2984803,103.8010202,0.0
21,100165,NATIONAL CANCER CTR PTE LTD,11 HOSPITAL DRIVE,LEVEL 4,169610,"[""establishment"",""health"",""hospital"",""point_of_interest""]",National Cancer Centre Singapore,"11 Hospital Crescent, Singapore 169610",169610,1.2794134,103.8367369,0.0
22,100176,SINGHEALTH POLYCLINIC- OUTRAM POLYCLINIC,INSTITUTE OF HEALTH,3 SECOND HOSPITAL AVENUE,168937,"[""establishment"",""health"",""point_of_interest""]",SingHealth Polyclinics - Outram,"3 Second Hospital Ave, #02-00 Health Promotion Board Building, Singapore 168937",168937,1.2796882,103.8382459,0.0
23,100193,SATA COMMHEALTH,WOODLANDS MEDICAL CTR. 900 SOUTH,WOODLANDS DRIVE #04-01 WOODLAND CIVIC CT,730900,"[""establishment"",""health"",""hospital"",""physiotherapist"",""point_of_interest""]",SATA CommHealth Woodlands Medical Centre,"900, #04-01 South Woodlands Drive, Civic Centre, Singapore 730900",730900,1.4350909,103.7867642,0.0
24,100195,HEALTH SCIENCES AUTHORITY,11 OUTRAM RD.,,169078,"[""establishment"",""health"",""point_of_interest""]",Health Sciences Authority,"11 Outram Rd, Singapore 169078",169078,1.280434,103.838439,0.0
25,100202,SINGHEALTH POLYCLINIC-PASIR RISBRCH,167 JLN BKT. MERAH,#15-10 INSTITUTE OF HEALTH TOWER 5,519457,"[""establishment"",""health"",""point_of_interest""]",SingHealth Polyclinics - Pasir Ris,"1 Pasir Ris Drive 4, #01-11, Singapore 519457",519457,1.3684543,103.9594183,0.0
26,100209,ST LOGISTICS PTE LTD,AFPN 1556J ARMY LOGISTIC BASE,601 OLD CHOA CHU KANG ROAD,699817,"[""establishment"",""point_of_interest""]",Army Logistics Base,"601 Old Choa Chu Kang Rd, Singapore 699817",699817,1.3733912,103.7184437,1.0
27,100274,SINGHEALTH POLYCLINICS-SENGKANGBRCH,2 SENGKANG SQUARE,,545025,"[""establishment"",""health"",""point_of_interest""]",SingHealth Polyclinics - Sengkang,"2 Sengkang Square, #01-06, Singapore 545025",545025,1.3927635,103.8940278,0.0
28,100340,JURONG MEDICAL CTR.,60 JURONG WEST CENTRAL 3,#01-08,648346,"[""establishment"",""health"",""hospital"",""point_of_interest""]",Jurong Medical Centre,"60 Jurong West Central 3, Singapore 648346",648346,1.3407136,103.7044,0.0
29,100342,ALEXANDRA HEALTH PTE LTD C/O KHOO TECK PUAT HOSPIT,C/O KHOO TECK PUAT HOSPITAL,90 YISHUN CENTRAL,768828,"[""establishment"",""health"",""hospital"",""point_of_interest""]",Khoo Teck Puat Hospital,"90 Yishun Central, Singapore 768828",768828,1.4246142,103.838217,0.0
30,200001,ABRAHAM'S ENT SURGERY P/L,290 ORCHARD RD.,#11-10 PARAGON,228859,"[""establishment"",""health"",""point_of_interest""]",Abraham Ear Nose & Throat Surgery Pte Ltd,"290 Orchard Rd, #11-10, Singapore 238859",238859,1.303864,103.8353591,1.0
31,200017,AMK MEDICAL CTR. - DR TAN SEUNG PO,BLOCK 157 ANG MO KIO AVENUE 4,#01-558,560157,"[""establishment"",""health"",""hospital"",""point_of_interest""]",Ang Mo Kio Medical Centre,"157 Ang Mo Kio Ave 4, Singapore 560157",560157,1.375193,103.839665,0.0
32,200018,P K ANG FAMILY CLINIC & SURGERY,BLOCK 106 HOUGANG AVENUE 1,#01-1225 (CORP-C & TERM),530106,"[""establishment"",""health"",""point_of_interest""]",P.K. Ang Family Clinic & Surgery,"106 Hougang Ave 1, #01-1225, Singapore 530106",530106,1.35398,103.8908827,0.0
33,200019,ANTEH DISPENSARY - DR JOYCE LIANG (C/O ANTEH DISPE,1 LORONG 22 GEYLANG,#01-02 GRANDVIEW SUITES,398664,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Anteh Dispensary,"1 Lor 22 Geylang, #01-02 GRANDVIEW SUITES, Singapore 398664",398664,1.3128254,103.8824525,0.0
34,200021,THOMAS CLINIC & SURGERY- DR THOMAS CHERIAN,BLOCK 61 TELOK BLANGAH HEIGHTS,#01-97,100061,"[""establishment"",""health"",""point_of_interest""]",Thomas Clinic & Surgery,"61 Telok Blangah Heights, Singapore 100061",100061,1.2758056,103.8118906,0.0
35,200031,DRS BAIN & PARTNERS LLP,350 ORCHARD RD.,#15-05/06 SHAW HOUSE,238868,"[""establishment"",""health"",""point_of_interest""]",Drs. Bain & Partners - Orchard,"350 Orchard Rd, Singapore 238868",238868,1.3057331,103.8314536,0.0
36,200033,BALKIS FAMILY CLINIC- DR BALKIS AKBAR ALI,BLOCK 631 BEDOK RESERVOIR RD.,#01-968,470631,"[""establishment"",""health"",""point_of_interest""]",Balkis Family Clinic,"631 Bedok Reservoir Rd, #01-968, Singapore 470631",470631,1.333675,103.9147639,0.0
37,200034,BEDOK CLINIC & SURGERY- DR FONG KHEE LENG,BLOCK 17 BEDOK SOUTH RD.,#01-565,460017,"[""establishment"",""health"",""point_of_interest""]",Bedok Clinic & Sugery,"17 Bedok S Rd, Singapore 460017",460017,1.3203316,103.9359539,0.0
38,200035,BEDOK LIFE CLINIC - DR K C QUEK,BLOCK 123 BEDOK NORTH ST. 2,#01-160,460123,"[""establishment"",""health"",""point_of_interest""]",Bedok Life Clinic,"123 #01-160 Bedok North Street 2, Singapore 460123",460123,1.3273618,103.9386283,0.0
39,200037,BEDOK MEDICAL CTR- DR HENRY YEO,BLOCK 18 BEDOK SOUTH RD.,#01-57,460018,"[""establishment"",""health"",""point_of_interest""]",Bedok Medical Centre,"18 Bedok S Rd, #01-57, Singapore 460018",460018,1.319993,103.9348223,0.0
40,200043,BOON LAY CENTRAL CLINIC- DR SEET HIN MIN,BLOCK 221 BOON LAY PLACE,#01-242 BOON LAY SHOPPING CTR.,640221,"[""establishment"",""health"",""point_of_interest""]",Jurong 13th Mile Clinic,"Boon Lay Shopping Centre #01-242, 221 Boon Lay Place (S)640221, Singapore 640221",640221,1.3463626,103.7124813,0.0
41,200044,BOON LAY CLINIC & SURGERY- DR CHAU SIK TING,BLOCK 221 BOON LAY PLACE,#01-240 BOON LAY SHOPPING CTR.,640221,"[""establishment"",""health"",""point_of_interest""]",Boon Lay Clinic and surgery,"221 Boon Lay Pl, #01-240, Singapore 640221",640221,1.346566,103.7120156,0.0
42,200045,BKT BATOK MEDICAL CLINIC- DR KWEK THIAM SOO,BLOCK 207 BUKIT BATOK ST 21,#01-114,650207,"[""establishment"",""health"",""point_of_interest""]",Bukit Batok Medical Clinic,"207 Bukit Batok Street 21, #01-114, Singapore 650207",650207,1.3461964,103.7493474,0.0
43,200046,BKT TIMAH CLINIC- DR KWEE WEE HOCK DAVID,621A BUKIT TIMAH RD.,,269731,"[""establishment"",""health"",""point_of_interest""]",Bukit Timah Clinic,"621A Bukit Timah Rd, Singapore 269731",269731,1.3246592,103.8090916,0.0
44,200047,BKT TIMAH NAM SANG CLINIC- DR KOH SWEE HIANG,80 JALAN JURONG KECHIL,,598591,"[""establishment"",""health"",""point_of_interest""]",Bukit Timah Nam Sang Clinic,"80 Jln Jurong Kechil, Singapore 598591",598591,1.3404609,103.7732241,0.0
45,200061,CHAN CLINIC FOR CHILDREN C/O CHAN SING KIT P/L,6 NAPIER RD.,#09-09 GLENEAGLES MEDICAL CTR.,258499,"[""doctor"",""establishment"",""health"",""hospital"",""point_of_interest""]",Dr BL Lim Centre For Psychological Wellness - Psychiatrist Singapore,"6 Napier Rd, #09-09 Gleneagles Medical Centre, Singapore 258499",258499,1.3073365,103.8195895,0.0
46,200062,CHAN EAR NOSE & THROAT SURGERY- DR CHAN SIEW CHEE,6 NAPIER RD.,#09-07 GLENEAGLES MEDICAL CENTRE,258499,"[""doctor"",""establishment"",""health"",""point_of_interest""]",DR CHAN SIEW CHEE,"6 Napier Rd, Singapore 258499",258499,1.307592,103.8199225,0.0
47,200063,CHANG CLINIC - DR CHANG TOU LIANG,1 JALAN ANAK BUKIT,#B1-09/10 BUKIT TIMAH PLAZA,588996,"[""establishment"",""health"",""point_of_interest""]",Chang Clinic,"1 Jln Anak Bukit, #B1 08-10, Singapore 588996",588996,1.3389815,103.7788238,0.0
48,200069,CHAN MED & ENDO/CHAN MEC P/L- DR CHAN HENG CHUN,6 NAPIER RD.,#08-05 GLENEAGLES MEDICAL CTR.,258499,"[""doctor"",""establishment"",""health"",""point_of_interest""]",gutCARE Digestive Â· Liver Â· Endoscopy Associates @ Gleneagles Hospital,"6 Napier Rd, #07-19 Gleneagles Medical Centre, Singapore 258499",258499,1.3076257,103.8202012,0.0
49,200089,CHEW DA COSTA PTE LTD - DR J L DA COSTA,1 GRANGE RD.,#10-11 ORCHARD BUILDING,239693,"[""establishment"",""health"",""point_of_interest""]",Chew Da Costa Pte. Ltd.,"1 Grange Rd, Singapore 239693",239693,1.3014488,103.8372499,0.0
50,200095,CHAIM CLINIC - DR CHAIM HENG TIN,BLOCK 111 LORONG 1 TOA PAYOH,#01-350,310111,"[""establishment"",""health"",""point_of_interest""]",Chaim Clinic,"#01- 350, Block, 111 Lor 1 Toa Payoh, Singapore 310111",310111,1.34118,103.8457355,0.0
51,200106,CHONG CLINIC - DR CHONG TZE SHING,BLOCK 703 BEDOK RESERVOIR RD.,#01-3500,470703,"[""establishment"",""health"",""point_of_interest""]",Chong Clinic,"703 Bedok Reservoir Rd, Singapore 470703",470703,1.3369819,103.9202078,0.0
52,200107,CHONG'S CLINIC - DR YUEN JYE,234 UPPER THOMSON RD.,,574365,"[""establishment"",""health"",""point_of_interest""]",Chong's Clinic,"234 Upper Thomson Rd, Singapore 574365",574365,1.3530911,103.8350081,0.0
53,200109,CHONG'S MEDICAL CTR- DR CHONG CHIN KAH,190 CLEMENCEAU AVE ( NO COD ORDERS),#01-29/30 SINGAPORE SHOPPING CENTRE,239924,"[""establishment"",""health"",""point_of_interest""]",Chong's Medical Centre,"190 Clemenceau Ave, Singapore 239924",239924,1.298146,103.8441579,0.0
54,200110,G & H MEDICAL CLINIC P/L- DR GOH CHENG HONG,BLOCK 106 YISHUN RING RD.,#01-173,760106,"[""establishment"",""health"",""point_of_interest""]",G & H Medical Clinic Pte Ltd,"106 Yishun Ring Rd, Singapore 760106",760106,1.4318012,103.8270259,0.0
55,200112,KAI CLINIC - DR ALAN HO CHOK CHAN,223 EAST COAST RD.,,428920,"[""establishment"",""health"",""point_of_interest""]",Kai Clinic,"223 E Coast Rd, Singapore 428920",428920,1.3075503,103.9071627,0.0
56,200117,HEALTHSPRINGS MEDICAL ASSOCIATES,541 ORCHARD RD.,#10-02 LIAT TOWER,238881,"[""establishment"",""health"",""point_of_interest""]",Healthsprings Medical Clinic (Liat Towers),"541 Orchard Rd, #10-02 Liat Towers, Singapore 238881",238881,1.3051935,103.8305934,0.0
57,200121,ROWELL CLINIC & SURGERY- DR SNG LUI CHENG,BLOCK 642 ROWELL RD.,#01-115,200642,"[""establishment"",""health"",""point_of_interest""]",Rowell Clinic & Surgery,"642 Rowell Rd, #01-115, Singapore 200642",200642,1.3078365,103.8565478,0.0
58,200124,THE SKIN CLINIC,80 MARINE PARADE RD.,#04-03 PARKWAY PARADE,449269,"[""establishment"",""health"",""hospital"",""point_of_interest"",""spa""]",SKN MediAesthetics (Parkway Parade),"80 Marine Parade Road #05-01, Parkway Parade, Singapore 449269",449269,1.3013718,103.905449,0.0
59,200126,DRS CHUA & PARTNERS PTE LTD,1 TANJONG PAGAR PLAZA,#01-10,082001,"[""establishment"",""health"",""point_of_interest""]",Drs. Chua & Partners Pte Ltd,"1 Tanjong Pagar Plaza, #01-10, Singapore 082001",082001,1.275726,103.842667,0.0
60,200127,CHUNGKIAW CLINIC - DR KEVIN KOH,68 JALAN JURONG KECHIL,#01-01 SUITES AT BUKIT TIMAH,596180,"[""establishment"",""health"",""point_of_interest""]",Chung Kiaw Clinic,"68 Jln Jurong Kechil, #01-01 Suites@Bukit Timah, Singapore 596180",596180,1.340499,103.7738004,0.0
61,200132,"THE JAPANESE ASSOCIATION CLINIC, SINGAPORE",120 ADAM RD.,,289899,"[""establishment"",""point_of_interest""]",The Japanese Association,"120 Adam Rd, Singapore 289899",289899,1.3306188,103.8158336,1.0
62,200133,CIVIC CLINIC - DR OOI TEIK HUAT,BLOCK 537 BEDOK NORTH ST. 3,#01-515,460537,"[""establishment"",""health"",""point_of_interest""]",The Civic Clinic Bedok,"537 Bedok North Street 3, HDB Bedok, Singapore 460537",460537,1.3325244,103.9242909,0.0
63,200136,"CLIFFORD DISPENSARY P/L-DRS LEE,LEOW,KC LEE",77 ROBINSON RD.,#06-02 SIA BUILDING,068896,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Clifford Dispensary,"350 Orchard Rd, #15-03 Shaw House, Singapore 238868",238868,1.30582,103.8313158,1.0
64,200137,CLIFFORD DISPENSARY PTE LTD,350 ORCHARD RD.,#15-03 SHAW HOUSE (CORP-C LIMIT 20K),238868,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Clifford Dispensary,"350 Orchard Rd, #15-03 Shaw House, Singapore 238868",238868,1.30582,103.8313158,0.0
65,200140,YIO CHU KANG MRT CLINIC P/L- DR TERENCE KOH,BLOCK 635 ANG MO KIO AVENUE 6,#01-5125,560635,"[""establishment"",""health"",""point_of_interest""]",Yio Chu Kang MRT Clinic,"635 Ang Mo Kio Ave 6, #01-5125, Singapore 560635",560635,1.3807326,103.8420933,0.0
66,200151,CHIEW CLINIC P/L- KENNETH Y W CHIEW YUEN WENG,2 KOVAN RD.,#01-09 SIMON PLAZA,548008,"[""establishment"",""health"",""point_of_interest""]",Chiew Clinic,"2 Kovan Rd, #01-09 Simon Plaza, Singapore 548008",548008,1.3620411,103.8851984,0.0
67,200152,CRESCENT CLINIC & SURGERY DR M TAHIR,BLOCK 1A EUNOS CRESCENT,#01-2473,401001,"[""establishment"",""health"",""point_of_interest""]",Crescent Clinic & Surgery,"1A Eunos Cres, Singapore 401001",401001,1.3213586,103.9027996,0.0
68,200154,DOVER CLINIC & SURGERY- DR CHEW GIAN MOH,BLOCK 28 DOVER CRESCENT,#01-89 MULTI STOREY CAR PARK,130028,"[""establishment"",""health"",""point_of_interest""]",Dover Clinic & Surgery,"28 Dover Cres, Singapore 130028",130028,1.3047171,103.7816099,0.0
69,200157,EASTERN CLINIC & SURGERY P/L-DR TAN CHIN HOR,BLOCK 235 JURONG EAST ST. 21,#01-316,600235,"[""establishment"",""health"",""point_of_interest""]",Eastern Clinic & Surgery Pte Ltd,"235 Jurong East Street 21, Singapore 600235",600235,1.3398141,103.7421324,0.0
70,200158,EASTERN MEDICAL CTR- DR FONG CHIU YAN,BLOCK 631 BEDOK RESERVOIR RD.,#01-896,470631,"[""establishment"",""health"",""point_of_interest""]",Eastern Medical Centre,"631 Bedok Reservoir Rd, Singapore 470631",470631,1.3331066,103.9155434,0.0
71,200164,EVERTON CLINIC PTE LTD-DR LILY LIE,7 EVERTON PARK,#01-17,080007,"[""establishment"",""health"",""point_of_interest""]",Everton Clinic,"7 Everton Park, Singapore 080007",080007,1.277088,103.8393474,0.0
72,200178,DRS FERNANDEZ & PARTNERS,1 GRANGE ROAD,#12-04 ORCHARD BUILDING,239693,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Fernandez & Partners Drs,"1 Grange Rd, #12-04, Singapore 239693",239693,1.30147,103.8374201,0.0
73,200181,FONG'S CLINIC FOR WOMEN- DR FONG CHUAN WEE,6 NAPIER RD.,#05-18 GLENEAGLES MEDICAL CENTRE,258499,"[""establishment"",""health"",""point_of_interest""]",Fong's Clinic For Women,"6 Napier Rd, Singapore 258499",258499,1.3077263,103.8200865,0.0
74,200184,FRANKEL CLINIC - DR GAN CHENG HOE,697 EAST COAST RD.,#01-01,459060,"[""establishment"",""health"",""point_of_interest""]",Frankel Clinic,"697 E Coast Rd, # 01-01, Singapore 459056",459056,1.3120234,103.9221283,1.0
75,200188,GASTROENTEROLOGY CLINIC- DR BENNY ANG,3 MOUNT ELIZABETH,#09-10 MT ELIZABETH MEDICAL CTR.,228510,"[""establishment"",""health"",""point_of_interest""]",Gastroenterology Clinic Pte Ltd,"3 Mount Elizabeth, Singapore 228510",228510,1.3057189,103.8357928,0.0
76,200192,GEYLANG BAHRU CLINIC- DR LIAO KIAN HUAT,BLOCK 16 UPPER BOON KENG RD.,#01-1093,380016,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Geylang Bahru Clinic,"16 Upper Boon Keng Rd, Singapore 380016",380016,1.3154717,103.8715659,0.0
77,200193,GEYLANG SERAI CLINIC- DR VICTOR NG KOON KENG,138 CHANGI RD.,,419722,"[""establishment"",""health"",""point_of_interest""]",Geylang Serai Clinic,"138 Changi Rd, Singapore 419722",419722,1.3167391,103.9016662,0.0
78,200201,GRACE CLINIC - DR CHONG FOONG CHONG,BLK 333 KRETA AYER RD.,#02-14,080333,"[""establishment"",""health"",""point_of_interest""]",Grace Clinic,"333 Kreta Ayer Rd, #02-14, Singapore 080333",080333,1.281341,103.8421498,0.0
79,200203,G.S. CLINIC & SURGERY P/L- DR GOH H P/DR SEAH,BLOCK 632 ANG MO KIO AVENUE 4,#01-960,560632,"[""establishment"",""health"",""point_of_interest""]",GS Clinic and Surgery,"Block 632 HDB, 632 Ang Mo Kio Ave 4, Singapore 560632",560632,1.3799826,103.8414166,0.0
80,200205,GWEE ENDOCRINE & MEDICAL CLINIC- DR GWEE HAK MENG,3 MOUNT ELIZABETH,#16-05 MT ELIZABETH MEDICAL CTR.,228510,"[""establishment"",""health"",""hospital"",""point_of_interest""]",Mount Elizabeth Medical Centre,"3 Mount Elizabeth, Singapore 228510",228510,1.3045666,103.8354606,0.0
81,200206,HAIG SPECIALIST MED CLINIC P/L-DR MUKUND DOSHI,319 JOO CHIAT PLACE,#03-01 EAST SHORE MEDICAL CTR.HAIG CLINIC,427989,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Haig Specialist Medical Clinic Pte Ltd,"319 Joo Chiat Pl, #03-01 Parkway East Medical Centre, Singapore 427989",427989,1.315135,103.90899,0.0
82,200223,HO MEDICAL CTR. P/L - DR PAUL HO,BLOCK 352 CLEMENTI AVENUE 2,#01-115,120352,"[""establishment"",""health"",""hospital"",""point_of_interest""]",Ho Medical Centre Pte Ltd,"Clementi Ave 2, #01-115 Block 352, Singapore 120352",120352,1.3147527,103.771577,0.0
83,200228,HONG WHYE CLINIC- DR CHUNG WENG SIONG,BLOCK 412 BEDOK NORTH AVENUE 2,#01-144,460412,"[""establishment"",""health"",""point_of_interest""]",Hong Whye Clinic,"412 Bedok North Ave 2, Singapore 460412",460412,1.329392,103.9310795,0.0
84,200246,JAPAN CLINIC & SURGERY- DR CHEE WENG SUN,BLOCK 802 FRENCH RD.,#01-55,200802,"[""establishment"",""health"",""point_of_interest""]",Japan Clinic & Surgery,"802 French Rd, #01-55, Singapore 200802",200802,1.3073492,103.8601093,0.0
85,200247,JAPAN GREEN CLINIC- DR LOH BAN CHYE,290 ORCHARD RD.,#10-01 PARAGON,238859,"[""establishment"",""health"",""point_of_interest""]",Japan Green Hospital,"290 Orchard Rd, # 10-01 Paragon, Singapore 238859",238859,1.3036974,103.8357488,0.0
86,200248,JINMIN CLINIC - DR HO SOON LYE,430 CHANGI RD.,,419872,"[""establishment"",""health"",""point_of_interest""]",Jinmin Clinic,"430 Changi Rd, Singapore 419872",419872,1.3188243,103.9118444,0.0
87,200260,KANG CLINIC - DR KANG CHUNG MENG,BLK 532 ANG MO KIO AVENUEE 10,#01-2465 CHENG SAN CENTRE,560532,"[""establishment"",""health"",""point_of_interest""]",Kang Clinic,"Ang Mo Kio Avenue 10, #01-2465, Block 532, Singapore 560532",560532,1.3739238,103.8551002,0.0
88,200281,KOH CLINIC & SURGERY- DR KOH BOON WAH,BLOCK 166 BUKIT BATOK WEST AVE 8,#01-250,650166,"[""establishment"",""health"",""point_of_interest""]",Koh Clinic & Surgery,"166 Bukit Batok West Ave 8, Singapore 650166",650166,1.3471402,103.7426649,0.0
89,200282,KOH CLINIC & SURGERY-DR KOH AI PENG,BLOCK 801 TAMPINES AVENUE 4,#01-269,520801,"[""establishment"",""health"",""point_of_interest""]",Koh Clinic & Surgery Pte. Ltd.,"801 Tampines Ave 4, Singapore 520801",520801,1.3471893,103.93801,0.0
90,200286,C Y KOK CLINIC & SURGERY- DR KOK CHIN YON,BLOCK 157 ANG MO KIO AVENUE 4,#01-562,560157,"[""establishment"",""health"",""point_of_interest""]",C.Y. Kok Clinic & Surgery,"157 Ang Mo Kio Ave 4, Singapore 560157",560157,1.37526,103.839382,0.0
91,200287,KONG CLINIC & SURGERY- DR KONG SIN MING,BLOCK 293 YISHUN ST 22,#01-223 (CUSTOMER USE CORP-C FOR ORDER),760293,"[""establishment"",""health"",""point_of_interest""]",Kong Clinic & Surgery,"293 Yishun Street 22, Singapore 760293",760293,1.4359878,103.8381527,0.0
92,200288,QUALITAS HEALTHCARE PTE LTD C/O KONG KIAN CLINIC,187 UPPER PAYA LEBAR RD.,,534869,"[""establishment"",""health"",""point_of_interest""]",qualitas healthcare pte ltd,"539 Bedok North Street 3, Singapore 460539",460539,1.3317922,103.9257597,1.0
93,200291,KIN MUN CLINIC- DR VICTOR WEE SIP LEONG,BLOCK 66 LORONG 4 TOA PAYOH,#01-319,310066,"[""establishment"",""health"",""point_of_interest""]",Kin Mun Clinic,"66 Lor 4 Toa Payoh, Singapore 310066",310066,1.335012,103.85174,0.0
94,200299,M LAM CLINIC - DR TAN PEH KHEE,739 GEYLANG RD.,,389649,"[""doctor"",""establishment"",""health"",""point_of_interest""]",M Lam Clinic,"739 Geylang Rd, Singapore 389649",389649,1.314894,103.8904988,0.0
