rowId,code,_name,_address1,_address2,_address3,_postalCode,types,name,formattedAddress,postalCode,latitude,longitude,score
63,0011i000001xn3c,Guardian Pharmacy - Tanjong Pagar,120 Maxwell Road #B2-01/02/03,Tanjong Pagar MRT,Tanjong Pagar MRT,069119,"[""establishment"",""health"",""pharmacy"",""point_of_interest"",""store""]",Guardian Singapore,"120 Maxwell Rd, # B2-01/02/03, Singapore 069119",069119,1.2767709,103.8451658,0.0
64,0011i000001xn13,TPC Medical Clinic,7 Wallich Street #B1-015,Tanjong Pagar Centre,Tanjong Pagar Centre,078884,"[""establishment"",""health"",""point_of_interest""]",TPC Medical Clinic,"7 Wallich Street Unit B1, 15, Singapore 078884",078884,1.2766593,103.8451816,0.0
65,0011i000001xn9T,Fullerton Health @ Gethin-Jones,78 Shenton Way,#04-01,#04-01,079120,"[""establishment"",""health"",""point_of_interest""]",Fullerton Healthcare Clinic,"78 Shenton Way, #04-01, Singapore 079120",079120,1.2731808,103.8453116,0.0
66,0011i000001xmvk,Fullerton Healthcare @ Gethin Jones,78 Shenton Way,#04-01,#04-01,079120,"[""establishment"",""health"",""point_of_interest""]",Fullerton Healthcare Clinic,"78 Shenton Way, #04-01, Singapore 079120",079120,1.2731808,103.8453116,0.0
67,0011i000001xmgy,The Bonham Clinic,100 Peck Seah Street,#11-16/17,#11-16/17,079333,"[""establishment"",""health"",""point_of_interest""]",The Bonham Clinic,"100 Peck Seah St, #11-16, Singapore 079333",079333,1.2757712,103.8444017,0.0
68,0011i000001xn5W,Parkway Shenton Pte Ltd,10 Anson Road,#36-01 International Plaza,#36-01 International Plaza,079903,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - International Plaza,"10 Anson Rd, #36-08/08/10 International Plaza, Singapore 079903",079903,1.276277,103.845924,0.0
69,0011i000001xnEJ,Shenton Medial Group,10 Anson Road #36-01,International Plaza,International Plaza,079903,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - International Plaza,"10 Anson Rd, #36-08/08/10 International Plaza, Singapore 079903",079903,1.276277,103.845924,0.0
70,0011i000001xmjb,Shenton Medical Group,10 Anson Road,#36-01 International Plaza,#36-01 International Plaza,079903,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - International Plaza,"10 Anson Rd, #36-08/08/10 International Plaza, Singapore 079903",079903,1.276277,103.845924,0.0
71,0011i000001xmuD,Shenton Medical Group,10 Anson Road,#36-01 International Plaza,#36-01 International Plaza,079903,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - International Plaza,"10 Anson Rd, #36-08/08/10 International Plaza, Singapore 079903",079903,1.276277,103.845924,0.0
72,0011i000001xmvV,Shenton Medical Group,10 Anson Road #36-01,International Plaza,International Plaza,079903,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - International Plaza,"10 Anson Rd, #36-08/08/10 International Plaza, Singapore 079903",079903,1.276277,103.845924,0.0
73,0011i000001xmyM,Shenton Medical Group,10 Anson Road #36-01,International Plaza,International Plaza,079903,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - International Plaza,"10 Anson Rd, #36-08/08/10 International Plaza, Singapore 079903",079903,1.276277,103.845924,0.0
74,0011i000001xn7q,Parkway Shenton Group,1 Cantonment Road #01-02,Pinnacle @ Duxton,Pinnacle @ Duxton,080001,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Shenton Family Medical Clinic - Duxton,"#01-02 Cantonment Rd, Blk 1 The Pinnacle @ Duxton, Singapore 080001",080001,1.2757132,103.8411431,0.0
75,0011i000001xnbr,W Koh Clinic,Block 4 Everton Park,#01-44,#01-44,080004,"[""establishment"",""health"",""point_of_interest""]",W Koh Clinic,"4 Everton Park, Singapore 080004",080004,1.2769641,103.8399306,0.0
76,0011i000001xmjd,Everton Clinic,7 Everton Park,#01-17,#01-17,080007,"[""establishment"",""health"",""point_of_interest""]",Everton Clinic,"7 Everton Park, Singapore 080007",080007,1.277088,103.8393474,0.0
77,0011i000001xn6Z,Grace Clinic,333 Kreta Ayer Road,#02-14,#02-14,080333,"[""establishment"",""health"",""point_of_interest""]",Grace Clinic,"333 Kreta Ayer Rd, #02-14, Singapore 080333",080333,1.281341,103.8421498,0.0
78,0011i000001xmfn,Kreta Ayer Clinic Pte Ltd,Block 333 Kreta Ayer Road,#02-14 Kreta Ayer Centre,#02-14 Kreta Ayer Centre,080333,"[""establishment"",""health"",""point_of_interest""]",Grace Clinic,"333 Kreta Ayer Rd, #02-14, Singapore 080333",080333,1.281341,103.8421498,0.0
79,0011i000001xnOt,Lee Clinic & Surgery,Blk 333  Kreta Ayer Road,#01-20,#01-20,080333,"[""establishment"",""health"",""point_of_interest""]",Lee Clinic & Surgery,"333 Kreta Ayer Rd, Singapore 080333",080333,1.2804637,103.8425406,0.0
80,0011i000001xmvs,Duxton Medical Clinic,Blk 7 Tanjong Pagar Plaza,#01-06,#01-06,081007,"[""establishment"",""health"",""point_of_interest""]",Duxton Medical Clinic,"7 Tanjong Pagar Plaza, #01-106 S081007, Singapore",081007,1.277315,103.843138,1.0
81,0011i000001xmvs,Duxton Medical Clinic,Blk 7 Tanjong Pagar,#01-106 Tg Pagar Plaza,#01-106 Tg Pagar Plaza,081007,"[""establishment"",""health"",""point_of_interest""]",Duxton Medical Clinic,"7 Tanjong Pagar Plaza, #01-106 S081007, Singapore",081007,1.277315,103.843138,1.0
82,0011i000001xn8b,Stamford Medical Group Pte Ltd,Block 7 Tanjong Pagar Plaza,#01-102,#01-102,081007,"[""establishment"",""health"",""point_of_interest""]",Stanford Medical Group Pte Ltd,"7 Tanjong Pagar Plaza, Singapore",081007,1.2771409,103.8429565,1.0
83,0011i000001xnL6,Seacare Maritime Medical Centre Pte Ltd,100 Tras Street,#18-02/03 Amara Corporate Tower,#18-02/03 Amara Corporate Tower,088539,"[""establishment"",""health"",""point_of_interest""]",Seacare,"100 Tras St, #18-02/03 The Amara Corporate Tower, Singapore 088539",088539,1.275,103.84361,0.0
84,0011i000001xnCE,CityMed Health Associates Pte Ltd,19 Keppel Road,#01-01 Jit Poh Building,#01-01 Jit Poh Building,089058,"[""establishment"",""health"",""hospital"",""point_of_interest""]",Citymed Health Associates Pte Ltd,"19 Keppel Rd, Singapore 089058",089058,1.2729042,103.8422086,0.0
85,0011i000001xn9c,Maritime Medeical Centre,120 Cantonment Road #02-05,Maritime House,Maritime House,089760,"[""establishment"",""health"",""hospital"",""point_of_interest""]",Maritime Medical Centre,"120 Cantonment Road, #02-05, Maritime House, 089760, Singapore 089760",089760,1.2765879,103.8403609,0.0
86,0011i000001xnVy,Keppel Medical Group,9 Telok Blangah Crescent,#01-139,#01-139,090009,"[""establishment"",""health"",""point_of_interest""]",Keppel Medical Group,"9 Telok Blangah Cres, Singapore 090009",090009,1.2775194,103.8196961,0.0
87,0011i00000X992G,Chung & Ee Medical Clinic,10 Telok Blangah Crescent,#01-151,#01-151,090010,"[""doctor"",""establishment"",""health"",""hospital"",""point_of_interest""]",Chung & Ee Medical Clinic,"10 Telok Blangah Cres, #01-151, Singapore 090010",090010,1.2778529,103.8197695,0.0
88,0011i000001xmhe,Meden Clinic & Surgery,Blk 35 Telok Blangah Rise,#01-295,#01-295,090035,"[""establishment"",""health"",""point_of_interest""]",Meden Clinic & Surgery,"35 Telok Blangah Rise, Singapore 090035",090035,1.2729677,103.8218899,0.0
89,0011i000001xn1Z,Meden Clinic & Surgery,35 Telok Blangah Rise,#01-295,#01-295,090035,"[""establishment"",""health"",""point_of_interest""]",Meden Clinic & Surgery,"35 Telok Blangah Rise, Singapore 090035",090035,1.2729677,103.8218899,0.0
90,0011i000001xn2V,Health Partnership Medical Centre,109 Bukit Purmei Road,#01-145,#01-145,090109,"[""establishment"",""health"",""pharmacy"",""point_of_interest"",""store""]",Health partnership medical Centre,"109 Bukit Purmei Rd, Singapore 090109",090109,1.2738966,103.8251725,0.0
91,0011i000001xmwR,Lum Clinic & Surgery,Block 109 Bukit Purmei Road,#01-149,#01-149,090109,"[""establishment"",""health"",""point_of_interest""]",Lum Clinic & Surgery,"109 Bukit Purmei Rd, Singapore 090109",090109,1.2739942,103.8253693,0.0
92,0011i000001xmpY,Drs Bain & Partners,1 HarbourFront Avenue,#07-06 Keppel Bay Tower,#07-06 Keppel Bay Tower,098632,"[""establishment"",""health"",""point_of_interest""]",Drs. Bain & Partners - Harbour Front,"1 HarbourFront Avenue, #07-06 Keppel Bay Tower, Singapore 098632",098632,1.265032,103.818292,0.0
93,0011i000001xn5o,Drs Bain & Partners,1 HarbourFront Avenue,#07-06 Keppel Bay Tower,#07-06 Keppel Bay Tower,098632,"[""establishment"",""health"",""point_of_interest""]",Drs. Bain & Partners - Harbour Front,"1 HarbourFront Avenue, #07-06 Keppel Bay Tower, Singapore 098632",098632,1.265032,103.818292,0.0
94,0011i000001xnHC,Drs Bain & Partners,1 HarbourFront Avenue #07-06,Keppel Bay Tower,Keppel Bay Tower,098632,"[""establishment"",""health"",""point_of_interest""]",Drs. Bain & Partners - Harbour Front,"1 HarbourFront Avenue, #07-06 Keppel Bay Tower, Singapore 098632",098632,1.265032,103.818292,0.0
