Name,Veeva ID,Parent HCO Account,Address line 1,Address line 2,Address line 3,Postal Code
Lum Clinic & Surgery,0011i000001xmwR,,Block 109 Bukit Purmei Road,#01-149,,090109
Drs Bain & Partners,0011i000001xmpY,,1 HarbourFront Avenue,#07-06 Keppel Bay Tower,,098632
Drs Bain & Partners,0011i000001xn5o,,1 HarbourFront Avenue,#07-06 Keppel Bay Tower,,098632
Drs Bain & Partners,0011i000001xnHC,,1 HarbourFront Avenue #07-06,Keppel Bay Tower,,098632
Drs Bains & Partners,0011i000001xnCb,,1 Harbourfront Avenue #07-06,Keppel Bay Tower,,098632
Mint Medical Centre,0011i000001xnVz,,1 Harbourfront Place,#01-10,,098633
Shenton Medical Group,0011i000001xmrO,,1 HarbourFront Place,#01-04 HarbourFront Tower One,,098633
Clifford Dispensary,0011i000001xmbZ,,3 Harbourfront Place #04-01,Harbourfront Tower 2,,099254
Chang Zhen Pte Ltd,0011i000001xna9,,77 Telok Blangah Drive,#01-244,,100077
Department of A&E,0011i000001xnPC,,5 Lower Kent Ridge Road,National University Hospital,,119074
Department of Psychiatry,0011i000001xmwb,,5 Lower Kent Ridge Road,National University Hospital,,119074
National University Hospital,0011i000001xnAR,,Department of Orthopaedic,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xmk3,,Department of O&G,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xnMK,,Department Advanced Internal Med,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xnPM,,Department of Nephrology,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xnYx,,Department of Endocrinology,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xnbT,,Department of Orthopaedic,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xmh3,,Department of Orthopaedic,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xmqa,,Department of Neurology,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xn0A,,Department of Cardiology,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xnEn,,Department of Nephrology,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xnZz,,Department of Medicine,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xmuU,,Department of Neurology,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xnE9,,The Heart Institute,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xnGP,,Department of Neurology,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xnYI,,Department of Respiratory,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xnYy,,Department Advanced Internal Med,5 Lower Kent Ridge Road,,119074
National University Hospital,0011i000001xmii,,Department of Endocrinology,Lower Kent Ridge,,119074
National University Hospital,0011i000001xmo6,,Pharmacy Department,Lower Kent Ridge Road,,119074
National University Hospital Pte Ltd,0011i000001xmxM,,Pharmacy Dept,Lower Kent Ridge Road,,119074
National University Hospital Pte Ltd,0011i000001xmjL,,Lower Kent Ridge Road,Pharmacy Dept,,119074
National Unversity Hospital,0011i000001xmvq,,Department of Endocrinology,Lower Kent Ridge Road,,119074
Pharmacy Department,0011i000001xnBH,,National University Hospital,5 Lower Kent Ridge Road,,119074
Purchasing Department,0011i000001xnSt,,5 Lower Kent Ridge Road,National University Hospital,,119074
National University of Singapore,0011i000001xmub,,95 Lower Kent Ridge Road,University Health & Wellness Centre,,119078
University Health Service,0011i000001xnFC,,National University of Singapore,93 Lower Kent Ridge Road,,119078
University Health Service,0011i000001xmcG,,National University of Singapore,95 Lower Kent Ridge Road,,119078
University Health Services,0011i000001xn9D,,National University of Singapore,95 Lower Kent Ridge Road,,119078
National University Of Singapore,0011i000001xnOe,,University Health Centre,20 Lower Kent Ridge Road,Level 1,119080
National University of Singapore,0011i000001xnXc,,10 Kent Ridge Crescent,University Hall Level 6,,119260
Healthway Medical Group,0011i000001xn5D,,438A Alexandra Road #B1-02,Alexandra Technopark,,119958
Town Hall Clinic,0011i000001xn10,,456 Alexandra Road,#02-01 NOL Building,,119962
The Dublin Clinic,0011i000001xmgG,,Blk 109 Clementi Street 11,#01-25 Sunset Way,,120109
Clementi Family Healthpoint Clinic & Surgery,0011i000001xnb5,,Block 308 Clementi Avenue 4,#01-351,,120308
Lim Medical Clinic,0011i000001xnBz,,Blk 320 Clementi Ave 4,#01-29,,120320
Vista Family Clinic,0011i000001xmbr,,Blk 320 Clementi Ave 4,#01-47,,120320
Lee Clinic,0011i000001xnBa,,Blk 325 Clementi Avenue 5,#01-139,,120325
Lee Clinic,0011i000001xnYG,,Blk 325 Clementi Ave 5,#01-139,,120325
Blk 328 Clementi Ave 2,0011i000001xnTH,,#01-212,Neptune Clinic,,120328
Canterbury Medical Centre,0011i000001xnKk,,Blk 328 Clementi Ave 2,#01-202,,120328
Kingsway Medical Clinic,0011i00000ufvLi,,352 Clementi Ave 2,#01-103,,120352
Singapore Women's Clinic,0011i000001xnPz,,352 Clementi Ave 2,#01-127,,120352
Teo Clinic & Surgery,0011i000001xnDg,,Blk 352 Clementi Ave 2,#01-111,,120352
Wong Clinic & Surgery,0011i000001xnV9,,352 Clementi Ave 2,#01-135,,120352
Yeo's Clinic,0011i000001xnYW,,Blk 354 Clementi Avenue 4,#01-221,,120354
Wee Healthfirst Medical Clinic,0011i000007Ef46,,378 Clementi Avenue 5,#01-342,,120378
Healthway Medical Group,0011i000001xnIx,,Blk 443 Clementi Avenue 3,301-63,,120443
The Jurong Dispensary,0011i000001xmwO,,Block 449 Clementi Avenue 3,#01-255,,120449
Blk 451 Clementi Ave 3,0011i000001xn2d,,#02-307,Clementi Polyclinic,,120451
Blk 451 Clementi Ave 3,0011i000001xmji,,#02-307,Clementi Polyclinic,,120451
Blk 451 Clementi Ave 3,0011i000001xmkD,,#02-307,Clementi Polyclinic,,120451
Blk 451 Clementi Ave 3,0011i000001xnRH,,#02-307,Clementi Polyclinic,,120451
Blk 451 Clementi Ave 3,0011i000001xnaf,,#02-307,Clementi Polyclinic,,120451
Clementi Polyclinic,0011i000001xmsW,,Blk 451 Clementi Ave 3,#02-307,,120451
Clementi Polyclinic,0011i000001xn04,,Blk 451 Clementi Ave 3,#02-307,,120451
Clementi Polyclinic,0011i000001xn05,,Blk 451 Clementi Ave 3,#02-307,,120451
Clementi Polyclinic,0011i000001xn06,,Blk 451 Clementi Ave 3,#02-307,,120451
Clementi Polyclinic,0011i000001xnVR,,Blk 451 Clementi Avenue 3,#02-307,,120451
Shenton Family Medical Clinic (Clementi),0011i000001xnLL,,Blk 451 Clementi Ave 3,#01-309,,120451
Faber Clinic & Surgery,0011i000001xn93,,501 West Coast Drive,#01-284,,120501
Chin Leong Clinic,0011i000001xmbD,,517 West Coast Road,#01-555,,120517
West Coast Clinic & Surgery,0011i000001xnIF,,Blk 517 West Cost Road,#01-561,,120517
West Coast Clinic & Surgery,0011i000001xnaB,,517 West Coast Road,#01-561,,120517
Yew Ying Medical Clinic & Surgery,0011i000001xn85,,612 Clementi West Street 1,#01-302,,120612
Union Clinic & Surgery,0011i000001xnTy,,Blk 722 Clementi West Street 2,#01-168,,120722
West Coast Clinic & Surgery,0011i000001xnD6,,722 Clementi West Street 2,#01-162,,120722
Tan Clinic & Surgery - Dr Tan Kin Theng,0011i000001xmlO,,Blk 725 Clementi West Street 2,#01-194,,120725
Family Life Clinic,0011i000001xnXJ,,Blk 727 Clementi West Street 2,#01-264,,120727
Healthway West Coast Clinic,0011i000001xmhG,,Blk 727 Clementi West St 2,#01-258,,120727
Westside Medical Clinic,0011i000001xnMe,,Blk 727 Clementi West Street 2,#01-252,,120727
Ivy Cheng Medical Clinic,0011i00000Y0Xnj,,Test,,,123456
Dover Clinic & Surgery,0011i000001xnCS,,Blk 28 Dover Crescent,#01-89 Multi Storey Car Park,,130028
Dover Clinic & Surgery,0011i000001xnTc,,Blk 28 Dover Crescent,#01-89,,130028
Trinity Medical Clinic,0011i000001xnLC,,Blk 19A Dover Crescent,#01-01,,131019
The Clinic @ Fusionopolis,0011i000005xAbY,,1 Fusionopolis Place,#01-05 Fusionopolis One,,138522
The Clinic @ Fusionpolis,0011i000001xmlb,,1 Fusionpolis Place #01-05,Gallaxis,,138632
Intergrated Medicine Clinic,0011i000001xn6x,,8 Biomedical Grove #01-04,Neuros - The Biopolis,,138665
Complete Healthcare Internationals,0011i000001xnPB,,45 Rochester Park,,,139249
The Family Practice Clinic & Surgery,0011i000001xmbo,,117 Commonwealth Drive,#01-723,,140117
Mei Ling Clinic,0011i000001xnKw,,Blk 158 Mei Ling Street,#01-80,,140158
Fong Clinc,0011i000001xmnz,,Blk 162 Mei Ling Street,#01-361,,140162
First Medical Centre,0011i000001xmx0,,Blk 169 Stirling Road,#01-1165,,140169
First Medical Centre,0011i000001xmp8,,Blk 169 Stirling Road,#01-1165,,140169
Teng Clinic,0011i000001xmal,,171 Stirling Road,#01-1101,,140171
My Family Clinic,0011i000001xmyD,,Blk 46-2 Commonwealth Drive,#01-372,,140462
Meng's Clinic,0011i000001xnIz,,Block 47 Tanglin Halt Road,#01-321,,141047
Dawson Medical Clinic,0011i000001xn0N,,Blk 85 Dawson Road,#01-05,,141085
The Family Practice @ Skyville,0011i000001xnHF,,Blk 85 Dawson Road,#01-06,,141085
Healthpoint Family Clinic,0011i000001xnCt,,Blk 48 Tanglin Halt Road,#01-337,,142048
Healthpoint Family Clinic,0011i000001xnCt,,48 Tanglin Halt Road,#01-337,,142048
Alexandra Family Clinic & Surgery,0011i000001xmn3,,57 Dawson Road #02-02,Dawson Place,,142057
Dawson Place Clinic,0011i000001xncr,,57 Dawson Road #02-03,Dawson Place,,142057
Tanglin Halt Clinic,0011i000001xmfc,,Block 39 Tanglin Halt Road,#01-1190,,143039
Queenstown Polyclinic,0011i000001xmft,,580 Stirling Road,,,148958
Queenstown Polyclinic,0011i000001xmcf,,580 Stirling Road,,,148958
Queenstown Polyclinic,0011i000001xmih,,580 Stirling Road,,,148958
Queenstown Polyclinic,0011i000001xnJJ,,580 Stirling Road,,,148958
Queenstown Polyclinic,0011i000001xnGH,,580 Stirling Road,,,148958
Queenstown Polyclinic,0011i000001xnKG,,580 Stirling Road,,,148958
Queenstown Polyclinic,0011i000001xnTr,,580 Stirling Road,Queenstown  Polyclinic,,148958
Margaret Drive,0011i000001xnaH,,Margaret Drive,Queenstown Polyclinic,,149296
Margaret Drive,0011i000001xnNg,,Margaret Drive,Queenstown Polyclinic,,149296
Margaret Drive,0011i000001xnUf,,Margaret Drive,Queenstown Polyclinic,,149296
Friendship Clinic & Surgery,0011i000001xmcB,,Blk 1 Jalan Bukit Merah,#01-4524,,150001
Central Medical Group,0011i000001xn7r,,Blk 11 Jalan Bukit Merah,#01-4442,,150011
Global Network Medical Centre,0011i000001xmpF,,Blk 11 Jalan Bukit Merah,#03-4460,,150011
Meden Clinic & Surgery,0011i000001xmnv,,Blk 59 Lengkok Bahru,#01-553,,150059
Healthlink Family Clinic,0011i000001xmxB,,Blk 86 Redhill Close,#01-600,,150086
Providence Clinic & Surgery,0011i000001xnDa,,Blk 86 Redhill Close,#01-596,,150086
Henderson Clinic & Surgery,0011i000001xnBg,,Blk 114 Bukit Merah View,#01-592,,150114
The Medical House Clinic & Surgery,0011i000001xmmq,,116 Bukit Merah View,#01-235,,150116
Drs Chua & Partners,0011i000001xmwf,,Blk 125 Bukit Merah Lane 1,#01-174,,150125
Fu-Xing Clinic,0011i000001xmdE,,Blk 161 Bukit Merah Central,#01-3737,,150161
Bukit Merah Polyclinic,0011i000001xmlo,,Blk 163,#04-3565 Bukit Merah Central,,150163
Bukit Merah Polyclinic,0011i000001xmu5,,Blk 163,#04-3565 Bukit Merah Central,,150163
Bukit Merah Polyclinic,0011i000001xnJC,,Blk 163,#04-3565 Bukit Merah Central,,150163
Bukit Merah Polyclinic,0011i000001xmzk,,Blk 163,#04-3565 Bukit Merah Central,,150163
Bukit Merah Polyclinic,0011i000001xmzm,,Blk 163,#04-3565 Bukit Merah Central,,150163
Pharmacy Supervisor,0011i000001xnBy,,Bukit Merah Polyclinic,167 Jalan Bukit Merah #15-10,Connection One (Tower 5),150167
Singapore General Hospital,0011i000001xnEZ,,Department of Urology,11 Outram Road,,150167
Singapore General Hospital,0011i000001xmgQ,,Outram Road,,,150167
Singapore General Hospital,0011i000001xmu6,,Outram Road,,,150167
Bukit Merah Clinic,0011i000001xnZs,,Blk 55 Lengkok Bahru,#01-399,,151055
Liew Clinic & Surgery,0011i000001xmw4,,116 Bukit Merah View,#01-223,,151116
Leong Clinic,0011i000001xnaJ,,63B Lengkok Bahru,#01-366,,152063
Leong Clinic,0011i000001xmvz,,63B Lengkok Bahru,#01-366,,152063
Fullerton Healthcare Group,0011i000001xnAI,,371 Alexandra Road #01-04,AIA Alexandra,,159963
Alexandra Hospital,0011i000001xmki,,Department of Geriatric,378 Alexandra Road,,159964
Alexandra Hospital,0011i000001xml1,,378 ALexandra Road,,,159964
Alexandra Hospital,0011i000001xn4F,,Department of General Surgery,378 Alexandra Road,,159964
Alexandra Hospital,0011i000001xmb3,,Department of General Medicine,378 Alexandra Road,,159964
Alexandra Hospital,0011i000001xnS9,,Department of General Medicine,378 Alexandra Road,,159964
Alexandra Hospital,0011i000001xnXd,,Department of General Surgery,378 Alexandra Road,,159964
Alexandra Hospital,0011i000001xn4p,,Department of A&E,378 Alexandra Road,,159964
Changi General Hospital,0011i000001xnTl,,2 Simei Street 3,,,159964
Department of General Medicine,0011i000001xn6b,,378 Alexandra Road,Alexandra Hospital,,159964
Department of General Surgery,0011i000001xn5N,,378 Alexandra Road,Alexandra Hospital,,159964
Department of General Surgery,0011i000001xmuT,,378 Alexandra Road,Alexandra Hospital,,159964
Department of Medicine,0011i000001xmol,,378 Alexandra Road,Alexandra Hospital,,159964
Dept of General Surgery,0011i000001xn3d,,378 Alexandra Road,Alexandra Hospital,,159964
Dept of Geriatric Medicine,0011i000001xmfz,,378 Alexandra Road,Alexandra Hospital,,159964
Sengkang Hospital,0011i000001xn54,,378 Alexandra Road,Alexandra Hospital,,159964
Havelock Family Clinic,0011i000001xnZB,,22 Havelock Road,#01-709,,160022
PJ Clinic,0011i000001xnXL,,Blk 36 Beo Crescent,#01-49,,160036
Pulse Clinic,0011i00000Egz8o,,38 Beo Crescent #01-32,The Beo Crescent,,160038
Thean Clinic,0011i000001xmye,,Blk 38 Beo Crescent,#01-32,,160038
Beo Crescent Family Clinic & Surgery,0011i000001xmdJ,,Blk 40 Beo Crescent,#01-02,,160040
The Family Doctor Clinic & Surgery,0011i000001xnAz,,Blk 40 Beo Crescent,#01-04,,160040
Huan Clinic,0011i000001xnHE,,Blk 51 Chin Swee Road,#03-111,,160051
Kim Tian Clinic,0011i000001xmiX,,Blk 71 Seng Poh Road,#01-41,,160071
Indus Clinic,0011i000001xncc,,77 Indus Road,#01-517,,160077
Marina Medical Centre (Tiong Bahru),0011i000001xnU1,,78 Guan Chuan Street,#01-39,,160078
Mao Medical Centre & Surgery,0011i000001xncq,,149 Silat Avenue,#01-54,,160149
Chua & Partners Family Clinic Pte Ltd,0011i000001xmkz,,Blk 18 Jalan Membina,#02-05,,164018
Fong's Clinic for Women,0011i000001xnKl,,18 Jalan Membina,#02-02,,164018
HealthTrends Family Clinic,0011i000001xmvR,,Blk 18 Jalan Membina,#02-08,,164018
Kao & Tan Family Medical Centre & Surgery,0011i000001xnas,,Blk 18 Jalan Membina,#02-03,,164018
The Family Clinic,0011i000001xnIY,,Blk 18 Jalan Membina,#02-08,,164018
The Family Clinic,0011i000001xnFL,,Blk 18 Jalan Membina,#02-08,,164018
Tiong Bahru Medical Centre Pte Ltd,0011i000001xmdG,,298 Tiong Bahru Road,#01-03/04 Central Plaza,,168730
Department of Surgery,0011i000001xn5A,,17 Third Hospital Avenue,National Heart Centre,,168751
Dept of Cardiac Anaesthesia,0011i000001xn6h,,17 Third Hospital Avenue,National Heart Centre,,168751
Dept of Cardiac Anaesthesia,0011i000001xnN9,,17 Third Hospital Avenue,National Heart Centre,,168751
Dept of Cardiac Anaesthesia,0011i000001xnNB,,17 Third Hospital Avenue,National Heart Centre,,168751
Dept of Cardiac Anaesthesia,0011i000001xmhT,,17 Third Hospital Avenue,National Heart Centre,,168751
Dept of Cardiac Anaesthesia,0011i000001xmnY,,17 Third Hospital Avenue,National Heart Centre,,168751
Dept of Diagnostic Radiology,0011i000001xmfv,,17 Third Hospital Avenue,National Heart Centre,,168751
Dept of Diagnostic Radiology,0011i000001xn6i,,17 Third Hospital Avenue,National Heart Centre,,168751
Dept of Diagnostic Radiology,0011i000001xn6j,,17 Third Hospital Avenue,National Heart Centre,,168751
Dept of Diagnostic Radiology,0011i000001xnNC,,17 Third Hospital Avenue,National Heart Centre,,168751
Dept of Diagnostic Radiology,0011i000001xnND,,17 Third Hospital Avenue,National Heart Centre,,168751
National Heart Centre,0011i000001xn2R,,Department of Cardiothoracic Surgery,17 Third Hospital Avenue,,168751
National Heart Centre,0011i000001xmgz,,17 Third Hospital Avenue,,,168751
National Heart Centre,0011i000001xnNb,,Department of Cardiology,17 Third Hospital Avenue,,168751
National Heart Centre,0011i000001xn6k,,Department of Diagnostic Radiology,17 Third Hospital Avenue,,168751
National Heart Centre,0011i000001xmjm,,17 Third Hospital Avenue,National Heart Centre,,168751
National Heart Centre,0011i000001xn24,,17 Third Hospital Avenue,National Heart Centre,,168751
National Heart Centre,0011i000001xmpi,,17 Third Hospital Avenue,,,168751
Pharmacist Technician,0011i000001xn6X,,17 Third Hospital Avenue,National Heart Centre,,168751
Pharmacy Department,0011i000001xn1W,,National Heart Centre,11 Hospital Avenue,,168751
Pharmacy Department,0011i000001xn1T,,5 Hospital Avenue Level 2A,National Heart Centre,,168751
Clinic Pharmacy Manager,0011i000001xn1d,,Outram Polyclinic,"3 Second Hospital Avenue, Level 2",HPB Building,168937
3 Second Hospital Avenue,0011i000001xnRD,,Level 2,Institute of Health,,168937
3 Second Hospital Avenue,0011i000001xnSR,,Level 2,Institute of Health,,168937
3 Second Hospital Avenue,0011i000001xnUj,,Level 2,Institute of Health,,168937
3 Second Hospital Avenue,0011i000001xmn1,,Level 2,Institute of Health,,168937
"Institute of Health, Level 2",0011i000001xnVj,,3 Second Hospital Avenue,,,168937
Outram Polyclinic,0011i000001xnZ2,,3 Second Hospital Avenue,#02-00 Health Promotion Board Building,,168937
Outram Polyclinic,0011i000001xmzc,,3 Second Hospital Avenue,#02-00 Health Promotion Board Building,,168937
Outram Polyclinic,0011i000001xmfx,,3 Second Hospital Avenue,#02-00 Health Promotion Board Building,,168937
