shipToCode,name,address1,address2,city,postalCode
100125,SINGHEALTH POLYCLINICS- BKT MERAH BRCH,BLK 163 BUKIT MERAH CENTRAL,#15-10 INSTITUTE OF HEALTH TOWER 5,SINGAPORE,150163
100128,SINGHEALTH POLYCLINICS-GEYLANG BRCH,21 GEYLANG EAST CENTRAL,SINGAPORE,SINGAPORE,389707
100132,SINGHEALTH POLYCLINICS- MARINE PARADE BRCH,BLK 80 MARINE PARADE CENTRAL,#15-10 INSTITUTE OF HEALTH TOWER 5,SINGAPORE,440080
100134,SINGHEALTH POLYCLINICS-QUEENSTOWN BRCH,580 STIRLING ROAD,LEVEL 2 (PHARMACY DEPT),SINGAPORE,148958
100165,NATIONAL CANCER CTR PTE LTD,11 HOSPITAL DRIVE,LEVEL 4,SINGAPORE,169610
100176,SINGHEALTH POLYCLINIC- OUTRAM POLYCLINIC,INSTITUTE OF HEALTH,3 SECOND HOSPITAL AVENUE,SINGAPORE,168937
100193,SATA COMMHEALTH,WOODLANDS MEDICAL CTR. 900 SOUTH,WOODLANDS DRIVE #04-01 WOODLAND CIVIC CT,SINGAPORE,730900
100195,HEALTH SCIENCES AUTHORITY,11 OUTRAM RD.,,SINGAPORE,169078
100202,SINGHEALTH POLYCLINIC-PASIR RISBRCH,167 JLN BKT. MERAH,#15-10 INSTITUTE OF HEALTH TOWER 5,SINGAPORE,519457
100209,ST LOGISTICS PTE LTD,AFPN 1556J ARMY LOGISTIC BASE,601 OLD CHOA CHU KANG ROAD,SINGAPORE,699817
100274,SINGHEALTH POLYCLINICS-SENGKANGBRCH,2 SENGKANG SQUARE,,SINGAPORE,545025
100340,JURONG MEDICAL CTR.,60 JURONG WEST CENTRAL 3,#01-08,SINGAPORE,648346
100342,ALEXANDRA HEALTH PTE LTD C/O KHOO TECK PUAT HOSPIT,C/O KHOO TECK PUAT HOSPITAL,90 YISHUN CENTRAL,SINGAPORE,768828
200001,ABRAHAM'S ENT SURGERY P/L,290 ORCHARD RD.,#11-10 PARAGON,SINGAPORE,228859
200017,AMK MEDICAL CTR. - DR TAN SEUNG PO,BLOCK 157 ANG MO KIO AVENUE 4,#01-558,SINGAPORE,560157
200018,P K ANG FAMILY CLINIC & SURGERY,BLOCK 106 HOUGANG AVENUE 1,#01-1225 (CORP-C & TERM),SINGAPORE,530106
200019,ANTEH DISPENSARY - DR JOYCE LIANG (C/O ANTEH DISPE,1 LORONG 22 GEYLANG,#01-02 GRANDVIEW SUITES,SINGAPORE,398664
200021,THOMAS CLINIC & SURGERY- DR THOMAS CHERIAN,BLOCK 61 TELOK BLANGAH HEIGHTS,#01-97,SINGAPORE,100061
200031,DRS BAIN & PARTNERS LLP,350 ORCHARD RD.,#15-05/06 SHAW HOUSE,SINGAPORE,238868
200033,BALKIS FAMILY CLINIC- DR BALKIS AKBAR ALI,BLOCK 631 BEDOK RESERVOIR RD.,#01-968,SINGAPORE,470631
200034,BEDOK CLINIC & SURGERY- DR FONG KHEE LENG,BLOCK 17 BEDOK SOUTH RD.,#01-565,SINGAPORE,460017
200035,BEDOK LIFE CLINIC - DR K C QUEK,BLOCK 123 BEDOK NORTH ST. 2,#01-160,SINGAPORE,460123
200037,BEDOK MEDICAL CTR- DR HENRY YEO,BLOCK 18 BEDOK SOUTH RD.,#01-57,SINGAPORE,460018
200043,BOON LAY CENTRAL CLINIC- DR SEET HIN MIN,BLOCK 221 BOON LAY PLACE,#01-242 BOON LAY SHOPPING CTR.,SINGAPORE,640221
200044,BOON LAY CLINIC & SURGERY- DR CHAU SIK TING,BLOCK 221 BOON LAY PLACE,#01-240 BOON LAY SHOPPING CTR.,SINGAPORE,640221
200045,BKT BATOK MEDICAL CLINIC- DR KWEK THIAM SOO,BLOCK 207 BUKIT BATOK ST 21,#01-114,SINGAPORE,650207
200046,BKT TIMAH CLINIC- DR KWEE WEE HOCK DAVID,621A BUKIT TIMAH RD.,,SINGAPORE,269731
200047,BKT TIMAH NAM SANG CLINIC- DR KOH SWEE HIANG,80 JALAN JURONG KECHIL,,SINGAPORE,598591
200061,CHAN CLINIC FOR CHILDREN C/O CHAN SING KIT P/L,6 NAPIER RD.,#09-09 GLENEAGLES MEDICAL CTR.,SINGAPORE,258499
200062,CHAN EAR NOSE & THROAT SURGERY- DR CHAN SIEW CHEE,6 NAPIER RD.,#09-07 GLENEAGLES MEDICAL CENTRE,SINGAPORE,258499
200063,CHANG CLINIC - DR CHANG TOU LIANG,1 JALAN ANAK BUKIT,#B1-09/10 BUKIT TIMAH PLAZA,SINGAPORE,588996
200069,CHAN MED & ENDO/CHAN MEC P/L- DR CHAN HENG CHUN,6 NAPIER RD.,#08-05 GLENEAGLES MEDICAL CTR.,SINGAPORE,258499
200089,CHEW DA COSTA PTE LTD - DR J L DA COSTA,1 GRANGE RD.,#10-11 ORCHARD BUILDING,SINGAPORE,239693
200095,CHAIM CLINIC - DR CHAIM HENG TIN,BLOCK 111 LORONG 1 TOA PAYOH,#01-350,SINGAPORE,310111
200106,CHONG CLINIC - DR CHONG TZE SHING,BLOCK 703 BEDOK RESERVOIR RD.,#01-3500,SINGAPORE,470703
200107,CHONG'S CLINIC - DR YUEN JYE,234 UPPER THOMSON RD.,,SINGAPORE,574365
200109,CHONG'S MEDICAL CTR- DR CHONG CHIN KAH,190 CLEMENCEAU AVE ( NO COD ORDERS),#01-29/30 SINGAPORE SHOPPING CENTRE,SINGAPORE,239924
200110,G & H MEDICAL CLINIC P/L- DR GOH CHENG HONG,BLOCK 106 YISHUN RING RD.,#01-173,SINGAPORE,760106
200112,KAI CLINIC - DR ALAN HO CHOK CHAN,223 EAST COAST RD.,,SINGAPORE,428920
200117,HEALTHSPRINGS MEDICAL ASSOCIATES,541 ORCHARD RD.,#10-02 LIAT TOWER,SINGAPORE,238881
200121,ROWELL CLINIC & SURGERY- DR SNG LUI CHENG,BLOCK 642 ROWELL RD.,#01-115,SINGAPORE,200642
200124,THE SKIN CLINIC,80 MARINE PARADE RD.,#04-03 PARKWAY PARADE,SINGAPORE,449269
200126,DRS CHUA & PARTNERS PTE LTD,1 TANJONG PAGAR PLAZA,#01-10,SINGAPORE,082001
200127,CHUNGKIAW CLINIC - DR KEVIN KOH,68 JALAN JURONG KECHIL,#01-01 SUITES AT BUKIT TIMAH,SINGAPORE,596180
200132,"THE JAPANESE ASSOCIATION CLINIC, SINGAPORE",120 ADAM RD.,,SINGAPORE,289899
200133,CIVIC CLINIC - DR OOI TEIK HUAT,BLOCK 537 BEDOK NORTH ST. 3,#01-515,SINGAPORE,460537
200136,"CLIFFORD DISPENSARY P/L-DRS LEE,LEOW,KC LEE",77 ROBINSON RD.,#06-02 SIA BUILDING,SINGAPORE,068896
200137,CLIFFORD DISPENSARY PTE LTD,350 ORCHARD RD.,#15-03 SHAW HOUSE (CORP-C LIMIT 20K),SINGAPORE,238868
200140,YIO CHU KANG MRT CLINIC P/L- DR TERENCE KOH,BLOCK 635 ANG MO KIO AVENUE 6,#01-5125,SINGAPORE,560635
200151,CHIEW CLINIC P/L- KENNETH Y W CHIEW YUEN WENG,2 KOVAN RD.,#01-09 SIMON PLAZA,SINGAPORE,548008
200152,CRESCENT CLINIC & SURGERY DR M TAHIR,BLOCK 1A EUNOS CRESCENT,#01-2473,SINGAPORE,401001
200154,DOVER CLINIC & SURGERY- DR CHEW GIAN MOH,BLOCK 28 DOVER CRESCENT,#01-89 MULTI STOREY CAR PARK,SINGAPORE,130028
200157,EASTERN CLINIC & SURGERY P/L-DR TAN CHIN HOR,BLOCK 235 JURONG EAST ST. 21,#01-316,SINGAPORE,600235
200158,EASTERN MEDICAL CTR- DR FONG CHIU YAN,BLOCK 631 BEDOK RESERVOIR RD.,#01-896,SINGAPORE,470631
200164,EVERTON CLINIC PTE LTD-DR LILY LIE,7 EVERTON PARK,#01-17,SINGAPORE,080007
200178,DRS FERNANDEZ & PARTNERS,1 GRANGE ROAD,#12-04 ORCHARD BUILDING,SINGAPORE,239693
200181,FONG'S CLINIC FOR WOMEN- DR FONG CHUAN WEE,6 NAPIER RD.,#05-18 GLENEAGLES MEDICAL CENTRE,SINGAPORE,258499
200184,FRANKEL CLINIC - DR GAN CHENG HOE,697 EAST COAST RD.,#01-01,SINGAPORE,459060
200188,GASTROENTEROLOGY CLINIC- DR BENNY ANG,3 MOUNT ELIZABETH,#09-10 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
200192,GEYLANG BAHRU CLINIC- DR LIAO KIAN HUAT,BLOCK 16 UPPER BOON KENG RD.,#01-1093,SINGAPORE,380016
200193,GEYLANG SERAI CLINIC- DR VICTOR NG KOON KENG,138 CHANGI RD.,,SINGAPORE,419722
200201,GRACE CLINIC - DR CHONG FOONG CHONG,BLK 333 KRETA AYER RD.,#02-14,SINGAPORE,080333
200203,G.S. CLINIC & SURGERY P/L- DR GOH H P/DR SEAH,BLOCK 632 ANG MO KIO AVENUE 4,#01-960,SINGAPORE,560632
200205,GWEE ENDOCRINE & MEDICAL CLINIC- DR GWEE HAK MENG,3 MOUNT ELIZABETH,#16-05 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
200206,HAIG SPECIALIST MED CLINIC P/L-DR MUKUND DOSHI,319 JOO CHIAT PLACE,#03-01 EAST SHORE MEDICAL CTR.HAIG CLINIC,SINGAPORE,427989
200223,HO MEDICAL CTR. P/L - DR PAUL HO,BLOCK 352 CLEMENTI AVENUE 2,#01-115,SINGAPORE,120352
200228,HONG WHYE CLINIC- DR CHUNG WENG SIONG,BLOCK 412 BEDOK NORTH AVENUE 2,#01-144,SINGAPORE,460412
200246,JAPAN CLINIC & SURGERY- DR CHEE WENG SUN,BLOCK 802 FRENCH RD.,#01-55,SINGAPORE,200802
200247,JAPAN GREEN CLINIC- DR LOH BAN CHYE,290 ORCHARD RD.,#10-01 PARAGON,SINGAPORE,238859
200248,JINMIN CLINIC - DR HO SOON LYE,430 CHANGI RD.,,SINGAPORE,419872
200260,KANG CLINIC - DR KANG CHUNG MENG,BLK 532 ANG MO KIO AVENUEE 10,#01-2465 CHENG SAN CENTRE,SINGAPORE,560532
200281,KOH CLINIC & SURGERY- DR KOH BOON WAH,BLOCK 166 BUKIT BATOK WEST AVE 8,#01-250,SINGAPORE,650166
200282,KOH CLINIC & SURGERY-DR KOH AI PENG,BLOCK 801 TAMPINES AVENUE 4,#01-269,SINGAPORE,520801
200286,C Y KOK CLINIC & SURGERY- DR KOK CHIN YON,BLOCK 157 ANG MO KIO AVENUE 4,#01-562,SINGAPORE,560157
200287,KONG CLINIC & SURGERY- DR KONG SIN MING,BLOCK 293 YISHUN ST 22,#01-223 (CUSTOMER USE CORP-C FOR ORDER),SINGAPORE,760293
200288,QUALITAS HEALTHCARE PTE LTD C/O KONG KIAN CLINIC,187 UPPER PAYA LEBAR RD.,,SINGAPORE,534869
200291,KIN MUN CLINIC- DR VICTOR WEE SIP LEONG,BLOCK 66 LORONG 4 TOA PAYOH,#01-319,SINGAPORE,310066
200299,M LAM CLINIC - DR TAN PEH KHEE,739 GEYLANG RD.,,SINGAPORE,389649
200305,LEE CLINIC & SURGERY- DR LEE KEEN KHUEN,BLOCK 333 KRETA AYER RD.,#01-20,SINGAPORE,080333
200307,S.Y. LEE CLINIC - DR LEE SUAN YEW,400 BALESTIER RD.,#01-11 BALESTIER PLAZA,SINGAPORE,329802
200315,LEONG CLINIC - DR LEONG SU CHEN,63B LENGKOK BAHRU,#01-366,SINGAPORE,151063
200318,LIANG CLINIC - DR LIANG HSUEH LIN,695D EAST COAST RD.,,SINGAPORE,459059
200322,LIEW CLINIC - DR LIEW B L,5000G MARINE PARADE RD.,#01-31 LAGUNA PARK,SINGAPORE,449290
200323,LIEW CLINIC & SURGERY- DR LIEW AH KIONG,BLOCK 116 BUKIT MERAH VIEW,#01-223,SINGAPORE,151116
200330,LIM CLINIC - DR LIM WEE NI,295 CHANGI RD.,,SINGAPORE,419773
200333,LIM CLINIC & SURGERY- DR LIM LIANG BOON,BLOCK 20 CHAI CHEE RD.,#01-420,SINGAPORE,461020
200336,DRS LIM & CHAN- DR C L LIM & DR S M CHAN,BLOCK 2 LORONG LEW LIAN,#01-50,SINGAPORE,530002
200337,DRS LIM & CHAN CLINIC- DR C L LIM & DR S M CHAN,BLOCK 106 HOUGANG AVENUE 1,#01-1235,SINGAPORE,530106
200341,LIM MEDICAL CLINIC-DR LIM SWEE HOCK,BLOCK 320 CLEMENTI AVENUE 4,#01-29,SINGAPORE,120320
200346,LIM CLINIC - DR LIM WAN IE,BLOCK 446 ANG MO KIO AVENUE 10,#01-1663,SINGAPORE,560446
200347,LOH'S CLINIC - DR LOH HUNG GHEE,BLOCK 45 SIMS DRIVE,#01-166,SINGAPORE,380045
200352,LOOI SURGERY PTE LTD,BLOCK 102 TOWNER RD.,#01-254,SINGAPORE,322102
200355,LOW CARDIOLOGY CLINIC- DR LOW LIP PING,3 MOUNT ELIZABETH,#11-05 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
200368,MARINE PARADE CLINIC- DR KONG KUM LENG,BLOCK 59 MARINE TERRACE,#01-81,SINGAPORE,440059
200369,MARSILING CLINIC & SURGERY-DR TONG THEAN SENG,BLOCK 131 MARSILING RISE,#01-186,SINGAPORE,730131
200373,MEDEN CLINIC & SURGERY- DR FONG CHONG TOO,BLOCK 59 LENGKOK BAHRU,#01-553,SINGAPORE,150059
200374,MEDEN CLINIC & SURGERY- DR GOH CHENG CHUAN,BLOCK 35 TELOK BLANGAH RISE,#01-295,SINGAPORE,090035
200377,THE MEDICAL CTR CLINIC HONG LEONG- DR W F KWOK,#14-05 HONG LEONG BUILDING,16 RAFFLES QUAY,SINGAPORE,048581
200380,MEDICAL & G.E. CLINIC,3 MOUNT ELIZABETH,#13-04 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
200387,MEDICAL PRACTICE - DR NG THIN ONN,BLOCK 15 BEACH RD.,#01-4683,SINGAPORE,190015
200388,MEDICAL SUPPLY & SERVICES INT'L (1996)P/L,339 THOMSON RD.,CLOSED ON WEDNESDAYS PM ONLY,SINGAPORE,307677
200391,MEDICO CLINIC & SURGERY- DR CHUA PONG KUAN,BLOCK 249 JURONG EAST ST. 24,#01-88,SINGAPORE,600249
200393,MEI LING CLINIC,BLOCK 158 MEI LING ST.,#01-80 QUEENSTOWN,SINGAPORE,140158
200395,MENG'S CLINIC - DR CHAN KHYE MENG,BLOCK 47 TANGLIN HALT RD.,,SINGAPORE,141047
200396,MERIDIAN MEDICAL CTR- DR EUGENE UNG,BLOCK 327 HOUGANG AVENUE 5,#01-162,SINGAPORE,530327
200401,THE MING CLINIC,1 ORCHARD BOULEVARD #04-01/02,CAMDEN MEDICAL CENTRE,SINGAPORE,248649
200404,NAIR CARDIAC & MEDICAL CTR- DR V P NAIR,3 MOUNT ELIZABETH,#16-08 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
200406,NAM SENG CLINIC P/L-DR KOH SWEE HAI,144 UPPER BUKIT TIMAH RD.,#01-22 BEAUTY WORLD CTR.,SINGAPORE,588177
200417,NEW TOWN CLINIC - DR CHIA KWOK WAH,BLOCK 11 UPPER BOON KENG RD.,#01-929,SINGAPORE,380011
200418,NEW TOWN CLINIC P/L-DR TAN GEOK JIM,BLOCK 59 NEW UPPER CHANGI RD.,#01-1224,SINGAPORE,461059
200424,E.C. NG MEDICAL CTR- DR NG ENG CHAN,2 MARNE ROAD,#01-01 STUDIOS@MARNE,SINGAPORE,208393
200427,S.Y. NG CLINIC - DR NG SENG YUEN,BLOCK 226A ANG MO KIO AVENUE 1,#01-631 (CUSTOMER USE GIRO ONLY),SINGAPORE,561226
200429,SENG'S OG PRACTICE PTE LTD DR SENG SHAY WAY,6 NAPIER RD.,#03-18 GLENEAGLES MEDICAL CENTRE,SINGAPORE,258499
200433,MY FAMILY CLINIC(CLEMENTI 325)P/L DR LEE TANG YIN/,BLOCK 325 CLEMENTI AVENUE 5,#01-139,SINGAPORE,120325
200434,ONG'S CLINIC - DR ONG CHON-KIN,175 BENCOOLEN ST.,#01-44 BURLINGTON SQUARE,SINGAPORE,189849
200436,ONG MEDICAL CLINIC- DR RAYMOND ONG THENG SUNG,BLOCK 316B ANG MO KIO ST. 31,#01-10,SINGAPORE,563316
200450,ORTHOPAEDIC ASSOCIATES-DR TOH CHOON LAI,3 MOUNT ELIZABETH,#16-03/04 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
200462,PAN-ISLAND CLINIC SURGERY- DR TAN SOO LIANG,BLOCK 632 BEDOK RESERVOIR RD.,#01-804,SINGAPORE,470632
200463,PAN ISLAND MEDICAL GROUP- DR CHUA SUI MENG,101 THOMSON RD.,#01-17 UNITED SQUARE,SINGAPORE,307591
200464,PARIQUA CLINIC- DR JUDY CHEN PEI SIANG,BLOCK 47 BENDEMEER RD.,#01-1463,SINGAPORE,330047
200476,THE PEOPLE'S CLINIC-DR PHAN OI PENG,BLOCK 145 TECK WHYE AVENUE,#01-161,SINGAPORE,680145
200478,FRONTIER PEOPLE'S CLINIC PTE LTD,BLOCK 123 BEDOK NORTH ST. 2,#01-152,SINGAPORE,460123
200482,PHOON CLINIC & SURGERY- DR PHOON CHIONG FOOK,BLOCK 632 BEDOK RESERVOIR RD.,#01-828,SINGAPORE,470632
200483,PING'S CLINIC & SURGERY- KWAK PING LAM,BLOCK 555 ANG MO KIO AVENUE 10,#01-1974,SINGAPORE,560555
200487,SKIN CLINIC- DR JENNIFER FOO,3 MOUNT ELIZABETH,#07-06 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
200495,RAFFLES MEDICAL GROUP LTD,585 NORTH BRIDGE RD.,LEVEL 7,SINGAPORE,188770
200502,RESERVOIR RD CLINIC & SURGERY- DR GAN KIM LOON,BLOCK 704 BEDOK RESERVOIR RD.,#01-3622,SINGAPORE,470704
200503,ROCHORE CTR CLINIC- DR MARY WEE JOO LING,175 BENCOOLEN STREET,#01-20 BURLINGTON SQUARE,SINGAPORE,189649
200504,ROCHOR MEDICAL CTR - DR GEORGE KHOO,BLK 635 VEERASAMY ROAD,#01-156,SINGAPORE,200635
200519,HEALTHWAY MEDICAL CLINIC,144 ROBINSON ROAD,#01-02/03 ROBINSON SQUARE,SINGAPORE,068908
200524,SHENTON CLINIC - DR TAN KOK ENG,BLOCK 498 JURONG WEST ST. 41,#01-464,SINGAPORE,640498
200533,LA CLINIC PTE LTD,290 ORCHARD RD.,#08-01/02 PARAGON,SINGAPORE,238859
200534,SINGAPURA CLINIC - DR LEE KENG THON,27 BENCOOLEN ST.,#01-27,SINGAPORE,189620
200552,SUWANDI-KO SURGERY- DR SU WAN DI-KO,3 MOUNT ELIZABETH,#10-14 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
200557,TAMPINES CLINIC & SURGERY P/L-DR ANG EE LEONG,BLOCK 139 TAMPINES ST. 11,#01-10,SINGAPORE,521139
200558,TAMPINES MEDICAL CTR- DR SIM SENG CHYE,BLOCK 267 TAMPINES ST. 21,#01-41,SINGAPORE,520267
200560,TAN CHUE TIN CLINIC P/L- DR TAN CHUE TIN,3 MOUNT ELIZABETH,#14-04 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,238859
200561,TAN CLINIC - DR TAN KIAT PIAH,BLOCK 345 CLEMENTI AVENUE 5,#01-94,SINGAPORE,120345
200569,DRS TANG & PARTNERS- DR KAM SHYAN CHIN,BLOCK 64 YUNG KUANG RD.,#01-115,SINGAPORE,610064
200573,TANGLIN MEDICAL CLINIC,19 TANGLIN RD.,#06-16/17 TANGLIN SHOPPING CTR.,SINGAPORE,247909
200575,H K TAN SURGERY,3 MOUNT ELIZABETH,#15-02 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
200580,TAN MEDICAL CLINIC P/L- DR TAN YONG TECK,BLOCK 339 ANG MO KIO AVENUE 1,#01-1583,SINGAPORE,560339
200581,TAN MEDICARE CLINIC- DR TAN YONG TONG,BLOCK 629 ANG MO KIO AVENUE 4,#01-986,SINGAPORE,560629
200584,FAMILY DOCTORS AT 365-DR LEE PHENG S/DR LEE CHUN F,BLOCK 365 CORPORATION DRIVE,#01-407,SINGAPORE,610365
200588,K.L. TAY CLINIC & SURGERY- DR TAY KOK LING,BLOCK 632 BEDOK RESERVOIR RD.,#01-822,SINGAPORE,470632
200589,TAY MEDICAL CTR- DR TONY TAY KIM TENG,BLOCK 6 HOLLAND CLOSE,#01-28,SINGAPORE,271006
200590,TEBAN GARDEN CLINIC-DR CHEW PIN KEE,BLOCK 61 TEBAN GARDEN RD.,#01-01 TEBAN PLACE,SINGAPORE,600061
200594,TEK DISPENSARY - DR GOH KONG TEK,BLOCK 4 LORONG 7 TOA PAYOH,#01-115,SINGAPORE,310004
200598,TENG CLINIC - DR SIAH KIM BIN,BLOCK 171 STIRLING RD.,#01-1101,SINGAPORE,140171
200601,TEO CLINIC & SURGERY - DR T K TEO,BLOCK 352 CLEMENTI AVENUE 2,#01-111,SINGAPORE,120352
200613,THEAN CLINIC - DR DON LAU VI HOK,BLOCK 38 BEO CRESCENT,#01-32,SINGAPORE,160038
200616,DRS THOMPSON & THOMSON(RADLINK MEDICARE)P/L,24 RAFFLES PLACE,#02-08 CLIFFORD CTR.,SINGAPORE,048621
200630,HAEM-ONC CLINIC PTE LTD,3 MOUNT ELIZABETH,#13-09/10 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
200631,CHARLES TOH CLINIC- DR TOH CHAI SOON CHARLES,3 MOUNT ELIZABETH,#06-01/02 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
200635,TOWN CLINIC- DR CHRISTINE KHOO YIOK BIN,287 BEACH RD.,#01-00,SINGAPORE,199551
200638,THE TOW YUNG CLINIC- DR LIM TECK CHYE,19 TANGLIN RD.,#05-01 TANGLIN SHOPPING CTR.,SINGAPORE,247909
200642,DRS TRYTHALL HOY DAVIES PL-DR CATHERINE NG,391B ORCHARD RD.,#25-07 NGEE ANN CITY TOWER B,SINGAPORE,238874
200644,UNION CLINIC & SURGERY- DR QUEK CHEE GUAN,BLOCK 722 CLEMENTI WEST ST. 2,#01-168,SINGAPORE,120722
200647,UNITED CLINIC,35 SELEGIE RD.,#05-06 PARKLANE SHOPPING MALL,SINGAPORE,188307
200650,UNITED MEDICAL PRACTITIONERS P/L-DR CHOONG SHE,BLOCK 139 TAMPINES ST. 11,#01-16,SINGAPORE,521139
200653,NUS-UNIVERSITY HEALTH CTR. (UHC),UNIVERSITY HEALTH CENTRE (UHC),LEVEL 1,SINGAPORE,119080
200655,VERNON CLINIC & SURGERY- DR CHIA KIAT SWAN,100 JALAN SULTAN,02-25/26 SULTAN PLAZA,SINGAPORE,199001
200656,VICTORY CLINIC & SURGERY- DR WILLIAM KHOO C L,21 GHIM MOH RD.,#01-205,SINGAPORE,270021
200657,E.L. CHIN FAMILY CLINIC & SURGERY- DR CHIN EN LOY,BLOCK 432 CLEMENTI AVENUE 3,#01-272,SINGAPORE,120445
200659,DRS WEE & OH- DR ALBERT WEE SOON TECK,3 MOUNT ELIZABETH,#07-01 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
200660,WEE'S CLINIC & SURGERY- DR WEE TEONG BOO,BLOCK 418 BEDOK NORTH AVENUE 2,#01-79,SINGAPORE,460418
200661,WEE HEALTHFIRST MEDICAL CLINIC DR SEOW YU JIN,BLOCK 378 CLEMENTI AVENUE 5,#01-342,SINGAPORE,120378
200668,WHAMPOA CLINIC - DR ANG YIAN HUA,BLOCK 88 WHAMPOA DRIVE,#01-863,SINGAPORE,320088
200669,WILMER CLINIC P/L- DR BRIAN HENG BOON LIAT,MT ELIZABETH ENT. CLINIC,"50 ARMENIAN STREET, #01-01 WILMER PLACE",SINGAPORE,179938
200670,WINSTEDT CLINIC - DR S L SARMA,51 UPPER WELD RD.,LITTLE INDIA,SINGAPORE,207408
200674,WONG CLINIC - DR WONG TECK BOON,BLOCK 539 BEDOK NORTH ST. 3,#01-603,SINGAPORE,460539
200689,WOODLANDS CLINIC - DR GABRIEL SEOW,BLOCK 131 MARSILING RISE,#01-204,SINGAPORE,730131
200698,YANG & YAP CLINIC & SURGERY PTE LTD,BLOCK 537 BEDOK NORTH ST. 3,#01-571,SINGAPORE,460537
200706,YIM CLINIC & SURGERY- DR YIM SOW TUCK,BLK 11A BOON TIONG ROAD,#02-03/04,SINGAPORE,161011
200712,OG CLINIC FOR WOMEN,3 MOUNT ELIZABETH,#09-08 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
200713,"DRS OH, LIM, WONG & PARTNERS- DR WONG KAI CHEONG",BLOCK 959 JURONG WEST ST. 92,#01-154,SINGAPORE,640959
200715,TAN-TEOH CLINIC/SURGERY-DR TAN C L/DR TEOH S H,BLOCK 101 TOWNER RD.,#01-216,SINGAPORE,322101
200727,CHARLES M P LIM CLINIC & SURGERY FOR WOMEN P/L,3 MOUNT ELIZABETH,#13-02 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
200738,ISLAND GROUP CLINIC,19 TANGLIN RD.,#06-34 TO 37 TANGLIN SHOPPING CENTRE,SINGAPORE,247909
200749,COMFORT CLINIC & SURGERY,BLOCK 214 SERANGOON AVENUE 4,#01-100 (ALL ORDERS USE CORP-C ONLY),SINGAPORE,550214
200774,LOW & LEE CLINIC & SURGERY- DR LEE GEOK CHOO,BLOCK 55 CHAI CHEE DRIVE,#01-202,SINGAPORE,460055
