CallChannel,NbCall,SourceID,FiscalYear,ProductName_Level2
Face to Face,77,0011i000001xnVVAAY,2019/2020,NatSR/Natrixam
Face to Face,76,0011i000001xnVfAAI,2019/2020,Triplixam
Face to Face,75,0011i000001xmd4AAA,2019/2020,Diamicron MR
Face to Face,74,0011i000001xmd4AAA,2019/2020,Coveram
Face to Face,72,0011i000001xnVRAAY,2019/2020,Diamicron MR
Face to Face,72,0011i000001xnVRAAY,2019/2020,NatSR/Natrixam
Face to Face,70,0011i000001xmd4AAA,2019/2020,Coversyl
Face to Face,70,0011i000001xmd4AAA,2019/2020,Vastarel MR
Face to Face,69,0011i000001xmd4AAA,2019/2020,Triplixam
Face to Face,68,0011i000001xnWpAAI,2019/2020,Diamicron MR
Face to Face,68,0011i000001xnWpAAI,2019/2020,NatSR/Natrixam
Face to Face,64,0011i000001xnVfAAI,2020/2021,Diamicron MR
Face to Face,64,0011i000001xnVKAAY,2020/2021,Diamicron MR
Face to Face,63,0011i000001xnWqAAI,2019/2020,Diamicron MR
Messages,63,Undefined,2020/2021,Vastarel XR 80
Face to Face,62,0011i000001xmd4AAA,2019/2020,Cosyrel
Face to Face,62,0011i000001xnWqAAI,2019/2020,NatSR/Natrixam
Face to Face,58,0011i000001xnVJAAY,2019/2020,Valdoxan
Face to Face,56,0011i000001xnTlAAI,2020/2021,Diamicron MR
Remote-detailing,56,0011i000001xnVfAAI,2019/2020,Diamicron MR
Remote-detailing,55,0011i000001xnVfAAI,2019/2020,Coversyl
Face to Face,54,0011i000001xnVkAAI,2019/2020,Diamicron MR
Face to Face,54,0011i000001xnVkAAI,2019/2020,NatSR/Natrixam
Face to Face,53,0011i000001xnVgAAI,2020/2021,Diamicron MR
Face to Face,53,0011i000001xnVgAAI,2020/2021,NatSR/Natrixam
Face to Face,51,0011i000001xmd4AAA,2019/2020,Coralan
Messages,51,Undefined,2020/2021,Vastarel MR
Face to Face,49,0011i000001xnVcAAI,2020/2021,Vastarel MR
Face to Face,49,0011i000001xnVhAAI,2019/2020,Diamicron MR
Face to Face,49,0011i000001xnVkAAI,2020/2021,Diamicron MR
Phone,49,Undefined,2020/2021,Diamicron MR
Face to Face,48,0011i000001xnVhAAI,2019/2020,NatSR/Natrixam
Remote-detailing,48,Undefined,2019/2020,Coralan
Face to Face,46,0011i000001xnTlAAI,2019/2020,Valdoxan
Face to Face,46,0011i000007DbTnAAK,2019/2020,Diamicron MR
Face to Face,46,0011i000007DbTnAAK,2019/2020,NatSR/Natrixam
Face to Face,45,0011i000001xnVlAAI,2019/2020,Diamicron MR
Face to Face,45,0011i000001xnVlAAI,2019/2020,NatSR/Natrixam
Face to Face,44,0011i000001xnVRAAY,2020/2021,Diamicron MR
Face to Face,44,0011i000007DbTnAAK,2020/2021,Diamicron MR
Face to Face,43,0011i000001xnTkAAI,2019/2020,Diamicron MR
Face to Face,43,Undefined,2019/2020,Vastarel XR 80
Face to Face,42,0011i000001xnTkAAI,2019/2020,Coralan
Face to Face,42,0011i000001xnVfAAI,2019/2020,Vastarel MR
Face to Face,42,0011i000001xnVHAAY,2020/2021,Diamicron MR
Remote-detailing,42,0011i000001xnVfAAI,2019/2020,Coralan
Email,40,Undefined,2020/2021,NatSR/Natrixam
Face to Face,40,0011i000001xnTkAAI,2020/2021,Coralan
Face to Face,39,0011i000001xnViAAI,2020/2021,Diamicron MR
Face to Face,39,0011i000001xnViAAI,2020/2021,NatSR/Natrixam
Face to Face,38,0011i000001xmd4AAA,2019/2020,Valdoxan
Face to Face,38,0011i000001xnWqAAI,2020/2021,Diamicron MR
Face to Face,38,0011i000001xnWqAAI,2020/2021,NatSR/Natrixam
Messages,38,Undefined,2020/2021,Daflon 1000
Undefined,38,Undefined,2020/2021,Daflon 500
Face to Face,37,0011i000001xnCQAAY,2019/2020,Valdoxan
Messages,37,0011i000001xnVfAAI,2020/2021,Vastarel MR
Face to Face,36,0011i000001xnVQAAY,2020/2021,Diamicron MR
Face to Face,36,0011i000001xnVQAAY,2020/2021,NatSR/Natrixam
Face to Face,35,0011i000001xnVcAAI,2020/2021,Coralan
Face to Face,35,0011i00000oYBGEAA4,2020/2021,Diamicron MR
Face to Face,35,0011i00000oYBGEAA4,2020/2021,NatSR/Natrixam
Face to Face,34,0011i000001xn5mAAA,2019/2020,Diamicron MR
Face to Face,34,0011i000001xnVLAAY,2020/2021,Coveram
Face to Face,34,0011i000001xnY6AAI,2019/2020,Diamicron MR
Face to Face,34,0011i000001xnY6AAI,2019/2020,NatSR/Natrixam
Face to Face,33,0011i000001xnWpAAI,2020/2021,Diamicron MR
Face to Face,33,0011i000001xnWpAAI,2020/2021,NatSR/Natrixam
Remote-detailing,33,Undefined,2019/2020,Vastarel MR
Face to Face,32,0011i000001xmd4AAA,2020/2021,Coversyl Family
Face to Face,32,0011i000001xnVcAAI,2019/2020,Vastarel MR
Face to Face,31,0011i000001xnVZAAY,2019/2020,Diamicron MR
Messages,31,0011i000001xnVKAAY,2020/2021,Diamicron MR
Face to Face,30,0011i000001xnKOAAY,2020/2021,Diamicron MR
Face to Face,30,0011i000001xnKOAAY,2020/2021,NatSR/Natrixam
Face to Face,30,0011i000001xnSHAAY,2019/2020,Diamicron MR
Face to Face,30,0011i000001xnVLAAY,2020/2021,NatSR/Natrixam
Face to Face,30,0011i000001xnVVAAY,2020/2021,Diamicron MR
Face to Face,30,0011i000001xnVVAAY,2020/2021,NatSR/Natrixam
Messages,30,0011i000001xnVcAAI,2020/2021,Diamicron MR
Face to Face,29,0011i000001xnTlAAI,2019/2020,NatSR/Natrixam
Face to Face,29,0011i000001xnTtAAI,2020/2021,Diamicron MR
Face to Face,29,0011i000001xnTtAAI,2020/2021,NatSR/Natrixam
Remote-detailing,29,0011i000001xnVfAAI,2019/2020,Triplixam
Face to Face,28,0011i000001xmd4AAA,2020/2021,Daflon 1000
Face to Face,28,0011i000001xmd4AAA,2020/2021,Diamicron MR
Face to Face,28,0011i000001xn5mAAA,2019/2020,Coveram
Face to Face,28,0011i000001xnLVAAY,2019/2020,Diamicron MR
Face to Face,28,0011i000001xnTkAAI,2020/2021,Diamicron MR
Face to Face,28,0011i000001xnTrAAI,2020/2021,Diamicron MR
Face to Face,28,0011i000001xnVSAAY,2020/2021,Diamicron MR
Face to Face,28,0011i000001xnVSAAY,2020/2021,NatSR/Natrixam
Remote-detailing,28,0011i000001xnVfAAI,2019/2020,NatSR/Natrixam
Remote-detailing,28,0011i000001xnVfAAI,2019/2020,Vastarel MR
Face to Face,27,0011i000001xmd4AAA,2019/2020,Daflon 1000
Face to Face,27,0011i000001xmd4AAA,2019/2020,Daflon 500
Face to Face,27,0011i000001xmvbAAA,2019/2020,Diamicron MR
Face to Face,27,0011i000001xn5mAAA,2019/2020,Coversyl
Face to Face,27,0011i000001xnVLAAY,2020/2021,Coralan
Face to Face,27,0011i000001xnVPAAY,2019/2020,Triplixam
Face to Face,26,0011i000001xn8MAAQ,2019/2020,Valdoxan
Face to Face,26,0011i000001xnAjAAI,2019/2020,Triplixam
Face to Face,26,0011i000001xnTkAAI,2020/2021,Vastarel MR
Face to Face,26,0011i000001xnU9AAI,2019/2020,Valdoxan
Face to Face,25,0011i000001xmd4AAA,2020/2021,Vastarel XR 80
Face to Face,25,0011i000001xmkLAAQ,2019/2020,Diamicron MR
Face to Face,25,0011i000001xnAjAAI,2019/2020,Coveram
Face to Face,25,0011i000001xnVkAAI,2020/2021,NatSR/Natrixam
Face to Face,25,0011i000001xnVPAAY,2019/2020,Coralan
Face to Face,25,0011i000001xnVPAAY,2019/2020,Vastarel MR
Face to Face,25,Undefined,2020/2021,Onivyde
Face to Face,24,0011i000001xnAjAAI,2019/2020,Coversyl
Face to Face,24,0011i000001xnFBAAY,2019/2020,Diamicron MR
Face to Face,24,0011i000001xnTtAAI,2019/2020,Diamicron MR
Face to Face,24,0011i000001xnTtAAI,2019/2020,NatSR/Natrixam
Face to Face,24,0011i000001xnVPAAY,2019/2020,Coveram
Face to Face,23,0011i000001xn5mAAA,2019/2020,Triplixam
Face to Face,23,0011i000001xnVPAAY,2019/2020,Cosyrel
Face to Face,23,0011i000007DbTnAAK,2020/2021,NatSR/Natrixam
Remote-detailing,23,0011i000001xnVKAAY,2019/2020,Diamicron MR
Face to Face,22,0011i000001xmd4AAA,2019/2020,Cedraflon
Face to Face,22,0011i000001xmsEAAQ,2019/2020,Coveram
Face to Face,22,0011i000001xmsEAAQ,2019/2020,Triplixam
Face to Face,22,0011i000001xmvqAAA,2019/2020,Diamicron MR
Face to Face,22,0011i000001xn5mAAA,2019/2020,Daflon 500
Face to Face,22,0011i000001xn8NAAQ,2019/2020,Triplixam
Face to Face,22,0011i000001xnAjAAI,2019/2020,Diamicron MR
Face to Face,22,0011i000001xnKdAAI,2019/2020,Diamicron MR
Face to Face,22,0011i000001xnVLAAY,2020/2021,Vastarel MR
Face to Face,21,0011i000001xmcGAAQ,2019/2020,Triplixam
Face to Face,21,0011i000001xmtAAAQ,2019/2020,Coveram
Face to Face,21,0011i000001xmtAAAQ,2019/2020,Triplixam
Face to Face,21,0011i000001xn4SAAQ,2019/2020,Coralan
Face to Face,21,0011i000001xn4SAAQ,2019/2020,Vastarel MR
Face to Face,21,0011i000001xn8oAAA,2019/2020,Valdoxan
Face to Face,21,0011i000001xnAjAAI,2019/2020,Vastarel MR
Face to Face,21,0011i000001xnVPAAY,2019/2020,Coversyl
Face to Face,21,0011i000001xnVRAAY,2020/2021,NatSR/Natrixam
Face to Face,20,0011i000001xmcGAAQ,2019/2020,Coveram
Face to Face,20,0011i000001xn0wAAA,2019/2020,Valdoxan
Face to Face,20,0011i000001xn8NAAQ,2019/2020,Coveram
Face to Face,20,0011i000001xnAjAAI,2019/2020,Coralan
Face to Face,20,0011i000001xnOeAAI,2019/2020,Triplixam
Face to Face,20,0011i000001xnTlAAI,2020/2021,Coralan
Face to Face,20,0011i000001xnVcAAI,2019/2020,Valdoxan
Face to Face,20,0011i000001xnVHAAY,2019/2020,NatSR/Natrixam
Face to Face,20,0011i000001xnVZAAY,2019/2020,Coveram
Face to Face,20,0011i000001xnVZAAY,2019/2020,Coversyl
Face to Face,20,0011i000001xnW2AAI,2019/2020,Coveram
Messages,20,0011i000001xnVLAAY,2020/2021,Diamicron MR
Face to Face,19,0011i000001xmcGAAQ,2019/2020,Coversyl
Face to Face,19,0011i000001xmtmAAA,2019/2020,Valdoxan
Face to Face,19,0011i000001xn2yAAA,2019/2020,Coveram
Face to Face,19,0011i000001xn2yAAA,2019/2020,Triplixam
Face to Face,19,0011i000001xn5mAAA,2019/2020,Coversyl Plus
Face to Face,19,0011i000001xnKiAAI,2019/2020,Coveram
Face to Face,19,0011i000001xnKiAAI,2019/2020,Triplixam
Face to Face,19,0011i000001xnSHAAY,2019/2020,Triplixam
Face to Face,19,0011i000001xnSHAAY,2019/2020,Vastarel MR
Face to Face,19,0011i000001xnVfAAI,2019/2020,Coveram
Face to Face,18,0011i000001xmfIAAQ,2019/2020,Triplixam
Face to Face,18,0011i000001xmgyAAA,2019/2020,Diamicron MR
Face to Face,18,0011i000001xmmFAAQ,2019/2020,Diamicron MR
Face to Face,18,0011i000001xmrHAAQ,2019/2020,Coralan
Face to Face,18,0011i000001xmsEAAQ,2019/2020,Coralan
Face to Face,18,0011i000001xmsEAAQ,2019/2020,Vastarel MR
Face to Face,18,0011i000001xmznAAA,2019/2020,Diamicron MR
Face to Face,18,0011i000001xn5mAAA,2019/2020,Cedraflon
Face to Face,18,0011i000001xn8NAAQ,2019/2020,Coralan
Face to Face,18,0011i000001xn8NAAQ,2019/2020,Vastarel MR
Face to Face,18,0011i000001xn9MAAQ,2019/2020,Coveram
Face to Face,18,0011i000001xnBVAAY,2019/2020,Diamicron MR
Face to Face,18,0011i000001xnFgAAI,2019/2020,Valdoxan
Face to Face,18,0011i000001xnOeAAI,2019/2020,Coveram
Face to Face,18,0011i000001xnVZAAY,2019/2020,Cedraflon
Face to Face,18,0011i000001xnVZAAY,2019/2020,Daflon 500
Face to Face,18,0011i000001xnY6AAI,2020/2021,Diamicron MR
Email,17,Undefined,2020/2021,Valdoxan
Face to Face,17,0011i000001xmlRAAQ,2019/2020,Diamicron MR
Face to Face,17,0011i000001xmsTAAQ,2019/2020,Valdoxan
Face to Face,17,0011i000001xmsYAAQ,2019/2020,Coralan
Face to Face,17,0011i000001xmsYAAQ,2019/2020,Vastarel MR
Face to Face,17,0011i000001xmvMAAQ,2019/2020,Coveram
Face to Face,17,0011i000001xmvMAAQ,2019/2020,Triplixam
Face to Face,17,0011i000001xn8NAAQ,2019/2020,Coversyl
Face to Face,17,0011i000001xnBCAAY,2019/2020,Valdoxan
Face to Face,17,0011i000001xnLdAAI,2019/2020,Diamicron MR
Face to Face,17,0011i000001xnOeAAI,2019/2020,Coversyl
Face to Face,17,0011i000001xnPQAAY,2019/2020,Diamicron MR
Face to Face,17,0011i000001xnVLAAY,2019/2020,Vastarel MR
Face to Face,17,0011i000001xnVPAAY,2019/2020,Diamicron MR
Face to Face,17,0011i000001xnWsAAI,2019/2020,Diamicron MR
Face to Face,17,0011i000001xnXuAAI,2019/2020,Triplixam
Face to Face,16,0011i000001xmarAAA,2019/2020,Coveram
Face to Face,16,0011i000001xmd4AAA,2020/2021,Coralan
Face to Face,16,0011i000001xmklAAA,2019/2020,Coralan
Face to Face,16,0011i000001xmklAAA,2019/2020,Vastarel MR
Face to Face,16,0011i000001xmp2AAA,2019/2020,Coralan
Face to Face,16,0011i000001xmp2AAA,2019/2020,Vastarel MR
Face to Face,16,0011i000001xmpGAAQ,2019/2020,Diamicron MR
Face to Face,16,0011i000001xmvbAAA,2019/2020,Cedraflon
Face to Face,16,0011i000001xmvbAAA,2019/2020,Daflon 500
Face to Face,16,0011i000001xmvKAAQ,2019/2020,Coralan
Face to Face,16,0011i000001xmvKAAQ,2019/2020,Vastarel MR
Face to Face,16,0011i000001xmvMAAQ,2019/2020,Coralan
Face to Face,16,0011i000001xmvMAAQ,2019/2020,Vastarel MR
Face to Face,16,0011i000001xn2DAAQ,2019/2020,Coveram
Face to Face,16,0011i000001xn2DAAQ,2019/2020,Triplixam
Face to Face,16,0011i000001xnCQAAY,2020/2021,Valdoxan
Face to Face,16,0011i000001xnDOAAY,2019/2020,Diamicron MR
Face to Face,16,0011i000001xnGgAAI,2019/2020,Diamicron MR
Face to Face,16,0011i000001xnKdAAI,2019/2020,Daflon 500
Face to Face,16,0011i000001xnU9AAI,2020/2021,Valdoxan
Face to Face,16,0011i000001xnVPAAY,2020/2021,Coversyl Family
Face to Face,16,0011i000001xnW2AAI,2019/2020,Triplixam
Face to Face,16,0011i000001xnWsAAI,2019/2020,Coveram
Face to Face,16,0011i000001xnWsAAI,2019/2020,Triplixam
Messages,16,0011i000001xnVJAAY,2020/2021,Valdoxan
Face to Face,15,0011i000001xmd4AAA,2020/2021,Natrilix Family
Face to Face,15,0011i000001xmd4AAA,2020/2021,Valdoxan
Face to Face,15,0011i000001xmkPAAQ,2019/2020,Coveram
Face to Face,15,0011i000001xmvAAAQ,2019/2020,Diamicron MR
Face to Face,15,0011i000001xmyrAAA,2019/2020,Coveram
Face to Face,15,0011i000001xmz9AAA,2019/2020,Diamicron MR
Face to Face,15,0011i000001xn5EAAQ,2019/2020,Diamicron MR
Face to Face,15,0011i000001xn7rAAA,2019/2020,Coveram
Face to Face,15,0011i000001xn7zAAA,2019/2020,Coveram
Face to Face,15,0011i000001xn7zAAA,2019/2020,Diamicron MR
Face to Face,15,0011i000001xn7zAAA,2019/2020,Triplixam
Face to Face,15,0011i000001xn9AAAQ,2019/2020,Coralan
Face to Face,15,0011i000001xn9AAAQ,2019/2020,Vastarel MR
Face to Face,15,0011i000001xn9MAAQ,2019/2020,Triplixam
Face to Face,15,0011i000001xn9UAAQ,2019/2020,Coveram
Face to Face,15,0011i000001xncNAAQ,2019/2020,Valdoxan
Face to Face,15,0011i000001xnK2AAI,2019/2020,Triplixam
Face to Face,15,0011i000001xnKyAAI,2019/2020,Coveram
Face to Face,15,0011i000001xnLXAAY,2019/2020,Diamicron MR
Face to Face,15,0011i000001xnSHAAY,2019/2020,Coveram
Face to Face,15,0011i000001xnU8AAI,2019/2020,Coveram
Face to Face,15,0011i000001xnU8AAI,2019/2020,Triplixam
Face to Face,15,0011i000001xnVlAAI,2020/2021,Diamicron MR
Face to Face,15,0011i000001xnVlAAI,2020/2021,NatSR/Natrixam
Face to Face,15,0011i000001xnVZAAY,2019/2020,Coversyl Plus
Face to Face,15,0011i000001xnVZAAY,2020/2021,Diamicron MR
Face to Face,15,0011i000001xnW2AAI,2019/2020,Diamicron MR
Face to Face,15,0011i000001xnWoAAI,2020/2021,Diamicron MR
Face to Face,15,0011i000001xnWoAAI,2020/2021,NatSR/Natrixam
Messages,15,0011i000001xnVcAAI,2020/2021,Coralan
Messages,15,Undefined,2020/2021,NatSR/Natrixam
Remote-detailing,15,0011i000001xnTkAAI,2019/2020,Diamicron MR
Face to Face,14,0011i000001xmd4AAA,2019/2020,Deprexis
Face to Face,14,0011i000001xmfIAAQ,2019/2020,Coveram
Face to Face,14,0011i000001xmfIAAQ,2019/2020,Diamicron MR
Face to Face,14,0011i000001xmlvAAA,2019/2020,Coveram
Face to Face,14,0011i000001xmlvAAA,2019/2020,Triplixam
Face to Face,14,0011i000001xmmwAAA,2019/2020,Coveram
Face to Face,14,0011i000001xmmwAAA,2019/2020,Triplixam
Face to Face,14,0011i000001xmmyAAA,2019/2020,Triplixam
Face to Face,14,0011i000001xmpzAAA,2020/2021,Diamicron MR
Face to Face,14,0011i000001xmpzAAA,2020/2021,NatSR/Natrixam
Face to Face,14,0011i000001xms8AAA,2019/2020,Coralan
Face to Face,14,0011i000001xms8AAA,2019/2020,Vastarel MR
Face to Face,14,0011i000001xmsBAAQ,2019/2020,Diamicron MR
Face to Face,14,0011i000001xmsEAAQ,2019/2020,NatSR/Natrixam
Face to Face,14,0011i000001xmsXAAQ,2020/2021,Diamicron MR
Face to Face,14,0011i000001xmtAAAQ,2019/2020,NatSR/Natrixam
Face to Face,14,0011i000001xmtmAAA,2020/2021,Valdoxan
Face to Face,14,0011i000001xmvMAAQ,2019/2020,Cosyrel
Face to Face,14,0011i000001xmzxAAA,2019/2020,Diamicron MR
Face to Face,14,0011i000001xn1iAAA,2019/2020,Diamicron MR
Face to Face,14,0011i000001xn7VAAQ,2019/2020,Coveram
Face to Face,14,0011i000001xn7VAAQ,2019/2020,Triplixam
Face to Face,14,0011i000001xn8NAAQ,2020/2021,Coversyl Family
Face to Face,14,0011i000001xn9UAAQ,2019/2020,Triplixam
Face to Face,14,0011i000001xnAjAAI,2020/2021,Diamicron MR
Face to Face,14,0011i000001xnCQAAY,2019/2020,Deprexis
Face to Face,14,0011i000001xnDOAAY,2020/2021,Diamicron MR
Face to Face,14,0011i000001xnHoAAI,2019/2020,Coveram
Face to Face,14,0011i000001xnIBAAY,2019/2020,Diamicron MR
Face to Face,14,0011i000001xnOxAAI,2019/2020,Diamicron MR
Face to Face,14,0011i000001xnP5AAI,2019/2020,Diamicron MR
Face to Face,14,0011i000001xnQ0AAI,2019/2020,Diamicron MR
Face to Face,14,0011i000001xnSHAAY,2019/2020,Coralan
Face to Face,14,0011i000001xnSHAAY,2020/2021,Vastarel XR 80
Face to Face,14,0011i000001xnVPAAY,2019/2020,Daflon 500
Face to Face,14,0011i000001xnVWAAY,2019/2020,Coralan
Face to Face,14,0011i000001xnVZAAY,2019/2020,Triplixam
Face to Face,14,0011i000006WatAAAS,2019/2020,Coralan
Face to Face,14,0011i00000NqknMAAR,2019/2020,Coralan
Face to Face,14,0011i00000NqknMAAR,2019/2020,Vastarel MR
Messages,14,Undefined,2020/2021,Cosyrel
Phone,14,Undefined,2020/2021,Coversyl Family
Email,13,Undefined,2019/2020,Diamicron MR
Face to Face,13,0011i000001xmarAAA,2019/2020,Triplixam
Face to Face,13,0011i000001xmbmAAA,2019/2020,Diamicron MR
Face to Face,13,0011i000001xmbNAAQ,2019/2020,NatSR/Natrixam
Face to Face,13,0011i000001xmerAAA,2019/2020,Diamicron MR
Face to Face,13,0011i000001xmkLAAQ,2019/2020,Coversyl
Face to Face,13,0011i000001xmm3AAA,2019/2020,Coveram
Face to Face,13,0011i000001xmm3AAA,2019/2020,Triplixam
Face to Face,13,0011i000001xmmyAAA,2019/2020,Coveram
Face to Face,13,0011i000001xmmyAAA,2019/2020,Coversyl
Face to Face,13,0011i000001xmpHAAQ,2019/2020,Diamicron MR
Face to Face,13,0011i000001xmsEAAQ,2019/2020,Cosyrel
Face to Face,13,0011i000001xmvKAAQ,2019/2020,Coveram
Face to Face,13,0011i000001xmvKAAQ,2019/2020,Triplixam
Face to Face,13,0011i000001xn0xAAA,2019/2020,Daflon 500
Face to Face,13,0011i000001xn1iAAA,2019/2020,Coveram
Face to Face,13,0011i000001xn1iAAA,2019/2020,Triplixam
Face to Face,13,0011i000001xn8NAAQ,2019/2020,Cosyrel
Face to Face,13,0011i000001xn8NAAQ,2019/2020,Diamicron MR
Face to Face,13,0011i000001xn9UAAQ,2019/2020,Diamicron MR
Face to Face,13,0011i000001xnBOAAY,2019/2020,Diamicron MR
Face to Face,13,0011i000001xnBVAAY,2020/2021,Vastarel XR 80
Face to Face,13,0011i000001xnDaAAI,2019/2020,Coveram
Face to Face,13,0011i000001xnDAAAY,2019/2020,Diamicron MR
Face to Face,13,0011i000001xnGmAAI,2019/2020,Natrixam
Face to Face,13,0011i000001xnKiAAI,2019/2020,NatSR/Natrixam
Face to Face,13,0011i000001xnPMAAY,2019/2020,Diamicron MR
Face to Face,13,0011i000001xnQGAAY,2020/2021,Valdoxan
Face to Face,13,0011i000001xnSHAAY,2019/2020,Coversyl
Face to Face,13,0011i000001xnSHAAY,2020/2021,Coversyl Family
Face to Face,13,0011i000001xnSHAAY,2020/2021,Diamicron MR
Face to Face,13,0011i000001xnSWAAY,2019/2020,Diamicron MR
Face to Face,13,0011i000001xnT9AAI,2019/2020,Coveram
Face to Face,13,0011i000001xnT9AAI,2019/2020,Triplixam
Face to Face,13,0011i000001xnTLAAY,2019/2020,Triplixam
Face to Face,13,0011i000001xnTqAAI,2020/2021,Diamicron MR
Face to Face,13,0011i000001xnVhAAI,2020/2021,Diamicron MR
Face to Face,13,0011i000001xnVKAAY,2019/2020,Valdoxan
Face to Face,13,0011i000001xnVPAAY,2020/2021,Daflon 1000
Face to Face,13,0011i000001xnVTAAY,2020/2021,Diamicron MR
Face to Face,13,0011i000001xnVTAAY,2020/2021,NatSR/Natrixam
Face to Face,13,0011i000001xnWDAAY,2019/2020,Coveram
Face to Face,13,0011i000001xnWDAAY,2019/2020,Triplixam
Face to Face,13,0011i000001xnWsAAI,2019/2020,NatSR/Natrixam
Face to Face,13,0011i000001xnXNAAY,2019/2020,Valdoxan
Face to Face,13,0011i00000KM4QcAAL,2019/2020,Triplixam
Face to Face,13,0011i00000NqfZXAAZ,2019/2020,Coralan
Face to Face,13,0011i00000NqfZXAAZ,2019/2020,Vastarel MR
Messages,13,Undefined,2020/2021,Onivyde
Face to Face,12,0011i000001xmbaAAA,2019/2020,Valdoxan
Face to Face,12,0011i000001xmbmAAA,2019/2020,Coveram
Face to Face,12,0011i000001xmbmAAA,2019/2020,Triplixam
Face to Face,12,0011i000001xmcPAAQ,2019/2020,Diamicron MR
